image,Irregularity,Disorganized,Asymmetry,Chaotic,Randomness,Variability,Multicolored,Heterogeneity,Grainy,Isotropy,Cluttered,Ambiguity,Intricate
0.jpg,0.4925731,0.8801195,0.68563217,0.5586816,0.13625188,0.7225284,0.03386899,0.21453677,0.029237406,0.3104516,0.7564581,0.10016732,0.246315
1.jpg,0.40984276,0.6514421,0.7843355,0.08605158,0.24283947,0.62690055,0.084805325,0.23826692,0.00062731095,0.81323165,0.052040793,0.86339355,0.19879134
2.jpg,0.6263572,0.57788646,0.9576883,0.40974116,0.66150975,0.8022371,0.032060303,0.4038329,0.016724976,0.2723083,0.44868433,0.5398762,0.017930489
3.jpg,0.4707846,0.7853118,0.9695254,0.38357317,0.034051675,0.6240736,0.03856089,0.63366663,0.005786388,0.6696588,0.093586706,0.22044387,0.0330812
4.jpg,0.3825117,0.827886,0.85772586,0.07608433,0.049096365,0.8981496,0.008879802,0.23208977,0.0006844919,0.6892678,0.7491474,0.39664933,0.20598353
5.jpg,0.2971625,0.72840035,0.9599496,0.12000831,0.025646804,0.9950235,0.00882306,0.21351407,0.0014903226,0.81024176,0.3493311,0.42904806,0.14667341
6.jpg,0.36182904,0.9574738,0.9213307,0.15656148,0.14033602,0.7451833,0.37031233,0.20524096,0.00026585234,0.3251647,0.09754585,0.09724161,0.22169492
7.jpg,0.45582637,0.9080734,0.75195867,0.6138885,0.043917753,0.68797874,0.08141236,0.23311338,0.028023351,0.64910173,0.8652504,0.66244984,0.24637057
8.jpg,0.40833667,0.86434996,0.8356873,0.054875012,0.06744897,0.9577297,0.026834367,0.06967873,0.000557339,0.65754634,0.49148545,0.3308847,0.13671833
9.jpg,0.21948728,0.8138802,0.96345645,0.32032755,0.029996216,0.75141275,0.056141824,0.18923005,0.0102276215,0.26935226,0.5732009,0.25094846,0.20022362
10.jpg,0.1371527,0.5074936,0.9442332,0.05867719,0.08432287,0.9165575,0.31955338,0.32365665,0.004204286,0.70258886,0.0299325,0.17637716,0.027739394
