image,Irregularity,Disorganized,Asymmetry,Chaotic,Randomness,Variability,Multicolored,Heterogeneity,Grainy,Isotropy,Cluttered,Ambiguity,Intricate
0.jpg,0.544703,0.45205823,0.799689,0.45466864,0.32099566,0.6406708,0.1279657,0.29331058,0.0019069341,0.6704924,0.89044726,0.5364177,0.068578236
1.jpg,0.6090506,0.29064217,0.8685535,0.42285374,0.1963698,0.7018119,0.12820737,0.20766942,0.0025084612,0.63899034,0.8851187,0.65407526,0.01957199
2.jpg,0.6475149,0.31854603,0.9061177,0.60218495,0.19013418,0.59703374,0.08112682,0.28950801,0.0005003788,0.5682932,0.90148634,0.75378597,0.019683616
3.jpg,0.71364313,0.71818304,0.90098864,0.4261294,0.26684752,0.6820466,0.046866484,0.37621215,0.001235349,0.60771996,0.7947511,0.7536691,0.028193954
4.jpg,0.6507948,0.45858786,0.927464,0.42410263,0.17113152,0.6840192,0.1414532,0.3509421,0.0015116236,0.58472097,0.8677675,0.8025105,0.01624166
5.jpg,0.62267697,0.2940932,0.87969553,0.60126686,0.20287451,0.6815579,0.10809256,0.24089177,0.00056876347,0.64459795,0.9100739,0.67556316,0.030820414
6.jpg,0.6682907,0.510685,0.89952993,0.22611023,0.1928625,0.74313796,0.064744614,0.26564395,0.0009810588,0.5941137,0.7102148,0.84620255,0.0097433245
7.jpg,0.61113447,0.289695,0.83479005,0.2914407,0.2136427,0.62604094,0.11702963,0.22343746,0.0030427,0.68111163,0.8758084,0.6460737,0.014679095
8.jpg,0.65173614,0.41700715,0.8360838,0.2814737,0.22246812,0.6554312,0.15296924,0.30559772,0.002130507,0.66011465,0.6257216,0.7690735,0.014221296
9.jpg,0.6147186,0.5154715,0.83671165,0.2655173,0.20220646,0.7526095,0.16777,0.2973261,0.0019383654,0.6382921,0.7409994,0.8615423,0.015009192
10.jpg,0.5038763,0.23993671,0.923607,0.71257097,0.32660484,0.6090565,0.12395978,0.14493325,0.004107761,0.6602946,0.90029997,0.6962474,0.06474583
11.jpg,0.5814017,0.41912544,0.89203995,0.26219967,0.2193834,0.7235743,0.106256895,0.3330849,0.002044527,0.65947646,0.8761792,0.85963273,0.015157484
12.jpg,0.6387763,0.5295252,0.8884442,0.34112194,0.21039137,0.72378653,0.041432947,0.3569491,0.0024973906,0.65977216,0.8160193,0.8889353,0.03921263
13.jpg,0.66303664,0.3735495,0.7945357,0.30799448,0.13200551,0.6649847,0.09871717,0.27376965,0.0019714274,0.63398826,0.97774965,0.50577927,0.09063632
14.jpg,0.6249994,0.5227942,0.85438627,0.5202295,0.2681833,0.5062953,0.15333264,0.2888911,0.0014562828,0.6073767,0.9657934,0.612622,0.053925425
15.jpg,0.6030665,0.6347105,0.83851635,0.71537405,0.188061,0.7712982,0.109979816,0.1795817,0.0015650615,0.53459996,0.9144717,0.26472276,0.06199539
16.jpg,0.61913514,0.3590241,0.8955416,0.22354703,0.15609749,0.63266987,0.24303995,0.35784864,0.0009393661,0.7294584,0.8287363,0.5276317,0.05915259
17.jpg,0.6247549,0.49606118,0.8894368,0.2596663,0.17736267,0.6778673,0.101663105,0.28810453,0.00083223166,0.6129961,0.88941205,0.5674868,0.020420112
18.jpg,0.5572628,0.5196027,0.8175318,0.27831158,0.20672244,0.70136064,0.11105221,0.21765986,0.0006587153,0.60507005,0.89194584,0.68934256,0.026727509
19.jpg,0.54275584,0.43843952,0.82347,0.31027868,0.2463219,0.6618539,0.23760064,0.42322755,0.00056585576,0.64893055,0.8902928,0.6189568,0.043288443
20.jpg,0.5547503,0.35913187,0.83724576,0.5248259,0.33704776,0.59005874,0.22104526,0.23066922,0.0005637538,0.6222982,0.95709646,0.42097476,0.032507554
21.jpg,0.5854104,0.44447836,0.92064357,0.6898017,0.15215203,0.7131176,0.12190293,0.21724166,0.00041680268,0.61272347,0.9545542,0.32803503,0.035742816
22.jpg,0.49571356,0.37229282,0.8492212,0.3920213,0.1531459,0.4940236,0.25348347,0.3359414,0.0010665633,0.64103466,0.9424931,0.47992045,0.08421263
23.jpg,0.62556857,0.61114675,0.93744045,0.25592345,0.26845703,0.6005469,0.14571029,0.28380367,0.0048334333,0.56178963,0.873173,0.3803134,0.074007414
24.jpg,0.65677905,0.589439,0.8796818,0.58234817,0.24115258,0.54676604,0.2532237,0.28203127,0.00096106494,0.7050238,0.94338185,0.47280568,0.13841423
25.jpg,0.66299576,0.6285005,0.89583796,0.273351,0.22012937,0.73589265,0.057809636,0.25875232,0.011300028,0.64100486,0.9325865,0.5398298,0.16828756
26.jpg,0.67244494,0.52475023,0.91212773,0.1962941,0.15608014,0.75771415,0.046132755,0.31444308,0.0035076526,0.60571915,0.8986394,0.51563877,0.054067962
27.jpg,0.59273267,0.51584595,0.9322907,0.23477995,0.22183268,0.6317494,0.05857229,0.32071263,0.0035242103,0.5731715,0.9406049,0.392778,0.062139902
28.jpg,0.4926491,0.7200556,0.8664569,0.10424778,0.20446147,0.68294364,0.058315717,0.39063022,0.009911776,0.64508367,0.92368764,0.79694605,0.066448644
29.jpg,0.6712052,0.676074,0.87801856,0.22687529,0.21001916,0.66392094,0.07659842,0.1892792,0.002707367,0.68232214,0.94979066,0.47462952,0.122714035
30.jpg,0.6548855,0.41817734,0.85158277,0.33428803,0.28013533,0.56486046,0.049918618,0.22549823,0.019230068,0.57446444,0.916823,0.45968673,0.1979839
31.jpg,0.6098571,0.5219509,0.84224916,0.21737954,0.23520426,0.6186027,0.042046912,0.2568593,0.0017933147,0.6172209,0.89929926,0.7004744,0.06240582
