image,Irregularity,Disorganized,Asymmetry,Chaotic,Randomness,Variability,Multicolored,Heterogeneity,Grainy,Isotropy,Cluttered,Ambiguity,Intricate
0.jpg,0.46282795,0.5714016,0.43818903,0.9493491,0.44410798,0.88225263,0.14220874,0.54373974,0.0073037706,0.4923083,0.07812602,0.27301678,0.5254999
1.jpg,0.64421767,0.7188682,0.9390182,0.6557682,0.43131047,0.3677551,0.07661131,0.321697,0.20864558,0.29310563,0.96315014,0.058443587,0.69069886
2.jpg,0.68811935,0.594265,0.80535907,0.29221684,0.16099292,0.8374374,0.06778633,0.38606408,0.013600349,0.50433576,0.6192296,0.6885805,0.17968021
3.jpg,0.65636104,0.69091356,0.72128254,0.20166348,0.39199153,0.46835294,0.0058181607,0.20661111,0.22869538,0.40171143,0.24037525,0.5876212,0.32019678
4.jpg,0.5402266,0.90780866,0.8409118,0.80689436,0.25552845,0.7673501,0.19751202,0.055265073,0.039353296,0.46914878,0.68194485,0.047800813,0.2755238
5.jpg,0.47877038,0.8777371,0.24218339,0.98094225,0.65722245,0.7201734,0.50901246,0.4404796,0.11067571,0.45539963,0.9324486,0.5859438,0.25233707
6.jpg,0.42455134,0.8281338,0.7063105,0.044431113,0.6897748,0.7491028,0.14786096,0.15361811,0.049271632,0.6102262,0.6617696,0.6355631,0.20021324
7.jpg,0.6100905,0.78139937,0.57809,0.40860814,0.110776655,0.60830957,0.09421328,0.25260743,0.044249136,0.30018413,0.8433224,0.11313954,0.4844303
8.jpg,0.56105417,0.9071436,0.63904166,0.88271075,0.38979352,0.71938765,0.18222833,0.12438065,0.033345766,0.54812014,0.36560887,0.2858709,0.1298667
9.jpg,0.63529074,0.8976361,0.88581204,0.03668141,0.06856411,0.5756761,0.045206886,0.45944467,0.33628654,0.45545313,0.87482893,0.63765067,0.21415551
10.jpg,0.42243785,0.7782472,0.49330252,0.19063176,0.12507667,0.8019107,0.2448416,0.31846216,0.011712081,0.39225268,0.23698618,0.17274743,0.2051105
11.jpg,0.5621619,0.56241405,0.7085886,0.14332172,0.027796833,0.67217875,0.043025494,0.18950997,0.017183907,0.5393512,0.6412405,0.36631915,0.14856118
12.jpg,0.5704064,0.9131482,0.92048347,0.45792398,0.11760965,0.7110397,0.08107856,0.53428435,0.8777509,0.4097445,0.6869056,0.9094668,0.007029713
13.jpg,0.46713853,0.8970954,0.61803305,0.18779,0.35117066,0.42008004,0.117984064,0.19275859,0.010241214,0.43077183,0.8286373,0.34373984,0.579154
14.jpg,0.596246,0.7526878,0.5080967,0.7290349,0.8235577,0.80498576,0.48245913,0.107707284,0.006573755,0.33089462,0.055304073,0.40953898,0.6412061
15.jpg,0.47742686,0.80485463,0.49216834,0.19931637,0.12736246,0.664721,0.15886332,0.46370274,0.08781156,0.3936743,0.51151407,0.2591511,0.4358326
16.jpg,0.505091,0.86657023,0.68280345,0.8949795,0.37936985,0.4949233,0.30007175,0.2660313,0.16163583,0.43388826,0.19998321,0.74058604,0.18588282
17.jpg,0.7450502,0.79326254,0.726118,0.45826843,0.33394894,0.88914895,0.0534994,0.15467727,0.00060426607,0.41950375,0.32677603,0.10042756,0.80638075
18.jpg,0.57563573,0.58233494,0.8000687,0.5135677,0.18388969,0.8283,0.34169018,0.19343291,0.0025620733,0.42010188,0.53742737,0.09994911,0.8778643
19.jpg,0.41767782,0.66014826,0.9591441,0.9215235,0.6920401,0.5779614,0.060873315,0.30009338,0.010103068,0.3393398,0.83496875,0.64265853,0.016461635
20.jpg,0.44088677,0.72799546,0.7478955,0.88657194,0.13465786,0.8382027,0.048216935,0.42706627,0.004447442,0.36338896,0.34930637,0.027505144,0.41966188
21.jpg,0.64387816,0.6284695,0.40249786,0.9462129,0.19050378,0.87093925,0.21155438,0.6220975,0.017827503,0.3614946,0.5039481,0.3503387,0.122097835
22.jpg,0.52555454,0.6514079,0.7108354,0.89835703,0.17472662,0.75813234,0.10157056,0.22961566,0.0031733133,0.5834271,0.8375159,0.044228617,0.09136366
23.jpg,0.59314287,0.7126696,0.7302023,0.57492393,0.18305932,0.9057414,0.21559677,0.3373374,0.003512745,0.4779099,0.15512232,0.12477046,0.9376087
24.jpg,0.5385751,0.5797527,0.59210336,0.9700726,0.16015299,0.3080343,0.2100339,0.5442522,0.03174926,0.48814517,0.5289628,0.9232098,0.95499104
25.jpg,0.37027743,0.92920756,0.771237,0.72783434,0.23194076,0.39719218,0.021697165,0.5442782,0.004065421,0.5455616,0.27992555,0.13791606,0.02233023
26.jpg,0.5941698,0.9370467,0.9404152,0.0410451,0.32227328,0.6621866,0.006732083,0.15511784,0.022826958,0.542224,0.44640753,0.53905386,0.49805045
27.jpg,0.36491922,0.93513846,0.7872678,0.5256242,0.11925521,0.7711449,0.07449749,0.37395597,0.0024557188,0.6000593,0.67003375,0.38324404,0.31899664
