image,Irregularity,Disorganized,Asymmetry,Chaotic,Randomness,Variability,Multicolored,Heterogeneity,Grainy,Isotropy,Cluttered,Ambiguity,Intricate
0.jpg,0.62606186,0.7194366,0.15430382,0.61196184,0.26710153,0.7699122,0.016155858,0.23063163,0.0006138842,0.5490256,0.2845286,0.7117938,0.13155605
1.jpg,0.5001626,0.8619031,0.5225607,0.9482777,0.37797624,0.65553653,0.39586583,0.42160133,0.0010685348,0.723777,0.6460159,0.70622826,0.3490656
2.jpg,0.5386986,0.76601124,0.694364,0.5569668,0.18992046,0.16757981,0.04445144,0.122792184,0.0048313956,0.52536523,0.7800564,0.42618725,0.87149316
3.jpg,0.51193774,0.7379372,0.97014207,0.07820237,0.12601328,0.56114954,0.3225364,0.06751186,0.0005253562,0.4675084,0.33488742,0.8256327,0.33980194
4.jpg,0.56265247,0.8165154,0.32309264,0.7655711,0.45048448,0.22306783,0.3542195,0.48796934,0.0048846803,0.41574436,0.51801187,0.47520503,0.6644744
5.jpg,0.50241756,0.9350497,0.8056774,0.7472897,0.15832971,0.6796255,0.16901763,0.2651308,0.0031358388,0.59936696,0.71551776,0.59663516,0.5697802
6.jpg,0.7185273,0.9572473,0.5572922,0.42767844,0.1883422,0.72546995,0.0053430335,0.38088512,0.30076766,0.6843143,0.74234784,0.9375363,0.31463408
7.jpg,0.5012429,0.74737316,0.28471467,0.7297721,0.13373198,0.51243955,0.41961733,0.22075608,0.028308,0.47493652,0.34403247,0.42706627,0.8281847
8.jpg,0.40572646,0.86172885,0.7030603,0.32605472,0.09051471,0.36160952,0.4049118,0.16410017,0.037739314,0.7773433,0.5788367,0.7835,0.44640318
9.jpg,0.5094722,0.8551651,0.84947175,0.46507832,0.13120833,0.61751986,0.14206456,0.40674967,0.0029446965,0.6621094,0.82914776,0.78633875,0.22907005
10.jpg,0.4630684,0.6882176,0.46082723,0.5882677,0.3735218,0.6437791,0.5359458,0.10257189,0.0018250583,0.7423318,0.43650475,0.670553,0.14053933
11.jpg,0.47222593,0.9225574,0.67352706,0.90076345,0.31868225,0.5084006,0.13952444,0.44953257,0.005253038,0.6712955,0.6588264,0.913167,0.15599625
