image,Irregularity,Disorganized,Asymmetry,Chaotic,Randomness,Variability,Multicolored,Heterogeneity,Grainy,Isotropy,Cluttered,Ambiguity,Intricate
0.jpg,0.6777982,0.91002613,0.9689104,0.9910608,0.4125112,0.21293907,0.120368615,0.36297628,0.02309091,0.51696604,0.4628282,0.8782952,0.1106638
1.jpg,0.6728414,0.94175404,0.9673305,0.9163314,0.29895267,0.3363849,0.31026056,0.27732465,0.18828754,0.57721376,0.68459195,0.9307424,0.036010608
2.jpg,0.59965545,0.96520597,0.9665591,0.6157393,0.18259543,0.29212752,0.022186123,0.36433437,0.056444384,0.58117515,0.94886416,0.9606656,0.018756486
3.jpg,0.6085818,0.92408216,0.9552764,0.9634902,0.34280783,0.21617502,0.073448285,0.39471805,0.047595847,0.5482143,0.67874444,0.93718636,0.15243138
4.jpg,0.4388028,0.90701246,0.932118,0.92161095,0.14398046,0.7424662,0.028757244,0.16324863,0.0892161,0.7471516,0.6999081,0.9709302,0.011278053
5.jpg,0.597936,0.67617464,0.94110256,0.7903855,0.061264683,0.90649813,0.011563915,0.64011425,0.042219207,0.32588643,0.6781746,0.75874513,0.0014341993
6.jpg,0.64281553,0.77910936,0.94621325,0.90838337,0.13444075,0.9605181,0.008438641,0.6778915,0.010156404,0.66382605,0.80794096,0.86607426,0.042739637
7.jpg,0.6330264,0.8994784,0.9962509,0.18627901,0.079788096,0.94794744,0.0066269278,0.57936716,0.023737272,0.4264422,0.628372,0.95338094,0.0025545184
8.jpg,0.65940255,0.88199705,0.9705857,0.33166912,0.2530915,0.51355416,0.001370236,0.44534695,0.38966852,0.5154527,0.8188347,0.9322684,0.0020000983
9.jpg,0.61585957,0.73075193,0.98047626,0.705581,0.2011444,0.79394406,0.008358371,0.33395153,0.012503982,0.5261364,0.7180392,0.71094275,0.007050119
10.jpg,0.58600307,0.91649276,0.9749655,0.98298633,0.172721,0.63625467,0.029026609,0.3888827,0.03890209,0.57533216,0.7711507,0.8985151,0.023294115
11.jpg,0.61413413,0.8565604,0.9780463,0.2791099,0.18695837,0.79122436,0.003784206,0.56597847,0.0196115,0.59025365,0.7020783,0.89405435,0.0061039114
12.jpg,0.5827679,0.88400376,0.99409276,0.8977644,0.33770075,0.65413755,0.027626088,0.33511454,0.043879367,0.67717594,0.8246621,0.9165846,0.010834995
