image,Irregularity,Disorganized,Asymmetry,Chaotic,Randomness,Variability,Multicolored,Heterogeneity,Grainy,Isotropy,Cluttered,Ambiguity,Intricate
0.png,0.47802365,0.81664973,0.5122765,0.9774056,0.16254249,0.87865317,0.0064910916,0.027418597,0.0004178221,0.57047296,0.32310972,0.008586305,0.4346659
1.png,0.30438343,0.30897385,0.5852134,0.9314582,0.011573511,0.7608486,0.1986486,0.35285285,0.0070961495,0.39805382,0.46177706,0.46920365,0.3305651
2.png,0.56741863,0.87545645,0.9195823,0.86131245,0.065742,0.57641834,0.020463077,0.093242735,0.0006057901,0.5357489,0.39261493,0.26389572,0.03959037
3.png,0.46980128,0.77257174,0.6330654,0.37863746,0.04364701,0.729936,0.024641996,0.44072053,0.0024663555,0.5728378,0.41796082,0.39944786,0.13367885
4.png,0.52234876,0.82460916,0.70689434,0.2757125,0.028375838,0.8683939,0.0075910375,0.057800233,0.00039978686,0.67422056,0.824186,0.46456283,0.030816596
5.png,0.42396826,0.53738445,0.92573,0.9008835,0.07474306,0.7083219,0.008886973,0.14948203,0.0009491922,0.31946403,0.24703607,0.15814933,0.04747441
6.png,0.3386681,0.72115135,0.857393,0.5747183,0.058347777,0.8539197,0.1028029,0.2790253,0.0019001956,0.7476176,0.43452248,0.20771055,0.04778219
7.png,0.3895634,0.6981004,0.7398835,0.73257977,0.13521887,0.9673058,0.0014317483,0.16508582,0.00039607458,0.29791638,0.46689916,0.023306638,0.45513546
8.png,0.56098515,0.69370943,0.87192184,0.85703164,0.097791485,0.84440374,0.01756629,0.09975863,0.0018990844,0.44269484,0.6465172,0.14490904,0.5957055
9.png,0.6323099,0.5208961,0.6802689,0.6090807,0.06936944,0.89077926,0.14292483,0.49458143,0.00040721003,0.4530154,0.1989408,0.64577925,0.10973279
10.png,0.51573926,0.47052503,0.48378965,0.83650255,0.109555334,0.90630275,0.36397335,0.40766934,0.0025045113,0.42177603,0.4504144,0.42114446,0.59513324
11.png,0.6913219,0.8879415,0.80274135,0.43627512,0.24070314,0.77886146,0.077035055,0.6770442,0.32335216,0.34579188,0.8341531,0.39288947,0.20923528
12.png,0.36544386,0.7113824,0.8531655,0.32411715,0.00714787,0.9369675,0.02461815,0.051833842,0.0012178337,0.50292224,0.14438833,0.11627304,0.08291819
13.png,0.37080416,0.71305203,0.6442545,0.3333595,0.03916182,0.7486571,0.0073913126,0.12049328,0.0035734433,0.4014772,0.94075584,0.5610406,0.6420602
14.png,0.24652801,0.68883526,0.65507793,0.73981,0.076128386,0.9708773,0.024016151,0.023642536,0.0014216048,0.6258842,0.078236066,0.1046913,0.19053394
15.png,0.34725776,0.57231337,0.8165126,0.34692496,0.01235235,0.78485256,0.0017204267,0.23328578,0.0016156551,0.3726626,0.4895689,0.027216611,0.51498014
16.png,0.39305738,0.86482805,0.87211514,0.20802128,0.0044748583,0.959736,0.0804456,0.1363984,0.010055255,0.6274031,0.85662496,0.016380047,0.15875275
17.png,0.3066357,0.7727779,0.93058866,0.4573186,0.055961832,0.88255143,0.0076519293,0.0831704,0.00020594888,0.48484933,0.25652266,0.24249035,0.011286711
18.png,0.53442436,0.81345814,0.7704568,0.14133441,0.005671088,0.96155226,0.012269853,0.10930078,0.0009362003,0.7549002,0.3401343,0.050881512,0.08618969
19.png,0.6253259,0.908712,0.92333823,0.35004398,0.07694464,0.78250366,0.14323393,0.72797465,0.00037200126,0.5013244,0.6493372,0.3044628,0.20741469
20.png,0.6374805,0.7036796,0.90378845,0.11413097,0.044374455,0.78422964,0.027460715,0.28040212,0.004298884,0.7372693,0.15059824,0.44592702,0.053864103
21.png,0.5631933,0.84332824,0.8799838,0.14812112,0.026940515,0.9320069,0.006792595,0.45228288,0.0009833636,0.62488747,0.15873416,0.31931743,0.0083295135
22.png,0.3068661,0.5400461,0.89600235,0.3481079,0.0048531876,0.58989197,0.26583198,0.042940482,0.0063176267,0.7256341,0.27462354,0.08856838,0.026540404
23.png,0.39796287,0.46803868,0.86374754,0.48238793,0.22924711,0.64323497,0.019233072,0.13212553,0.006573351,0.8144781,0.036522314,0.23370807,0.026515948
24.png,0.49811232,0.6636418,0.28920478,0.2000973,0.053882405,0.9423567,0.0028779376,0.18358049,0.004381307,0.6591228,0.12966698,0.06858832,0.23179376
25.png,0.3469497,0.9002517,0.80387616,0.2535869,0.019030921,0.6563295,0.0350374,0.1044734,0.00093171984,0.304659,0.5939933,0.0829538,0.1634427
26.png,0.4099583,0.8221335,0.8619255,0.18091784,0.030746091,0.7338668,0.008829385,0.2239263,0.007886863,0.53210914,0.3338183,0.22113049,0.016045775
27.png,0.4163384,0.8089329,0.8091378,0.49509636,0.083855584,0.7686608,0.019788304,0.16919772,0.008913995,0.42215472,0.2515459,0.25947914,0.007269802
28.png,0.63956016,0.6784368,0.90304935,0.726731,0.1069122,0.78915644,0.053005055,0.259104,0.0078287525,0.82745117,0.7144969,0.5156597,0.34428775
29.png,0.49241745,0.41574112,0.6528254,0.94621944,0.2655662,0.63427013,0.44974732,0.01543397,0.0014969883,0.73525935,0.30480745,0.14556007,0.01823984
30.png,0.3194246,0.85166377,0.8700852,0.15383373,0.071531825,0.9193371,0.027339615,0.29313606,0.0002570964,0.75958276,0.2270893,0.04146106,0.022296786
31.png,0.4802147,0.846519,0.8153908,0.79008335,0.42983997,0.50302094,0.10119452,0.09445461,0.00034483543,0.3494714,0.87095994,0.2717976,0.086418144
32.png,0.19348499,0.49899292,0.8203309,0.5824519,0.28672168,0.9162476,0.3983815,0.047061644,0.00097313116,0.59457654,0.4825696,0.047742333,0.08251103
33.png,0.4976714,0.40497708,0.9695276,0.94054973,0.13969284,0.8695274,0.5831728,0.09962614,0.014787408,0.5730586,0.615684,0.14298192,0.09457451
34.png,0.28735852,0.45334244,0.7519163,0.80570954,0.06717923,0.8376025,0.17801759,0.18041599,0.001235462,0.5836201,0.6510603,0.3598089,0.071242064
35.png,0.39734107,0.8488873,0.40618345,0.25402722,0.07196608,0.86100435,0.024684072,0.06886528,0.00014048735,0.6819291,0.04380724,0.08437281,0.10793388
