image,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
0.jpg,15.031238,3.0565724,27.357733,-0.6718018,13.954719,3.9090793,5.5344753,15.454325,3.4822185,5.6233225,4.615888,11.301106,6.934183,-1.8631734,3.988968,6.351691,-2.6030016,5.8291564,25.29505,0.07726271,15.566823,-2.9163647,2.6874146,5.0865836,-1.1489968,5.9129477,-1.7819349,5.1419735,-4.288788,4.384188,-0.79635066,3.5185165,0.085360646,9.451664,8.235787,2.3602116,7.004453,-2.1241028,-0.48945695,33.182682,-0.038062923,-1.7373979,3.3530521,3.226798,1.9452949,-2.2765994,4.683245,-0.79373235,5.3950424,5.4847107,3.1026156,8.248553,5.0183125,4.9684105,-0.07215531,2.714195,4.541508,3.961852,-1.869666,0.15594782,0.20134962,4.1978693,0.65646374,5.0967455,-2.9187076,-2.4751275
1.jpg,20.22969,36.216347,4.3964415,5.5786586,4.4947543,2.7881637,11.990234,8.43763,4.999402,-5.77316,7.2249665,10.260774,6.2311015,6.712228,11.986611,16.915169,-2.4506075,30.502235,3.828144,12.064869,1.0063071,-1.917978,0.4789839,0.79670364,1.8454201,6.746756,5.264272,-0.08880659,-0.202078,-3.4383802,2.8925698,11.397552,2.5839305,-1.4308261,6.421338,2.7057438,0.5874102,-2.2984903,1.7116776,5.2729516,4.1612864,-0.53670454,17.451235,-1.0331736,10.818234,1.0076027,4.6296835,4.7684736,4.90368,6.483886,1.7743856,1.9511077,0.83062863,0.5065774,-1.7407961,4.2533574,5.413337,2.7674723,3.2650537,4.5386786,3.921312,5.026263,2.9651387,-5.457662,4.914081,-2.9370492
2.jpg,18.952734,7.368975,0.477124,16.780748,5.9894457,7.4524074,4.5370383,11.965636,14.795597,-0.56849986,6.2250876,10.806497,1.9840028,11.33474,10.816426,-0.59266025,11.324278,16.05098,7.889267,1.5098081,-0.12877017,9.960433,2.2792265,3.5765793,1.8451678,1.1199664,2.2324932,1.8544611,14.483842,15.49848,0.3999153,-2.8079617,-0.42073095,4.231001,3.2270238,5.0252547,2.8133771,1.6754502,-2.521334,1.1637518,10.43392,2.4267614,4.662862,18.974632,-1.0196491,2.726066,3.49966,4.3771253,10.444337,23.314302,11.783793,4.2758183,3.915251,2.4413624,1.763915,3.855917,15.699445,2.990788,-1.3668796,15.63285,7.4432483,0.7357452,3.822811,6.669541,6.1520195,7.330192
3.jpg,8.124825,7.4101963,6.487734,15.233856,12.008789,1.1599658,9.017705,7.038538,31.717644,2.660615,11.681046,9.760491,3.9583292,8.018742,12.915381,3.1651595,8.696372,3.910731,7.0912123,2.4817972,-3.4153576,10.845748,5.778093,7.0766015,5.8470497,4.032868,6.4734197,-1.249822,18.445158,15.498577,0.58682597,-0.12287526,3.699626,7.864343,0.54704,1.554595,1.7118385,2.9412298,-0.28165624,-4.247671,3.147257,4.3318043,3.1344981,10.465631,4.4166164,10.339293,5.836384,4.8410845,6.2509594,18.75755,19.794708,7.3475523,4.5114,2.7454116,-1.0495722,6.538889,12.494534,6.147556,2.4784915,16.337782,3.1173668,3.3745077,10.334473,2.497608,10.206969,2.2397053
4.jpg,32.30977,-1.5973237,7.716813,25.393604,2.2270777,2.087126,1.8998818,16.83636,19.363918,1.5287716,17.89045,1.0971054,8.420786,11.829483,7.3098497,26.124489,2.0893195,2.347419,4.089301,5.917013,0.18184648,20.360146,3.9740517,-0.9865721,3.800831,5.2895293,8.489089,2.9577572,6.7921386,11.6297865,5.0194535,2.4202862,1.4519707,0.5627925,1.8372211,3.5269651,-0.3530942,3.7229524,4.2436957,5.659666,3.3262658,-1.5630662,0.039474946,0.39874837,-0.51357013,-1.1483063,1.7321169,37.05803,3.9535954,-5.6235824,5.9387746,-2.970444,2.2877946,-6.4068427,0.78140825,-0.42543626,6.0850086,4.9728265,-2.1094005,1.4421659,6.9553533,6.11426,8.167316,0.20665605,0.6064086,0.46623442
5.jpg,30.664507,6.020341,5.34923,29.841274,8.57364,3.6605976,10.10823,15.397169,15.750349,1.2881494,12.310549,6.80765,5.812466,6.1484933,8.628083,23.950523,8.519195,1.7387476,2.492414,8.478985,-3.0541425,5.541191,3.2914135,-4.1371293,1.7515018,3.5657003,7.55269,-0.49279314,8.308845,5.188595,4.5507584,3.8575444,2.3058467,0.46037036,2.6936696,2.6960933,1.7127886,6.841013,3.368289,5.402128,-0.54570556,-3.4670374,6.7869864,-2.0879912,-0.23626466,-4.708032,2.3051767,36.837543,5.531202,1.4679303,5.2861505,1.4079392,-0.21094382,-3.9238925,4.4701385,-0.73552996,4.4370155,-1.3658289,-2.0695972,-1.4821067,5.988647,6.769668,7.0918293,1.5796552,1.6948379,3.6654162
6.jpg,17.523228,3.4550176,13.669862,18.762552,-3.051335,0.566685,1.4751368,9.479634,40.876312,6.1272087,0.40052143,18.979296,12.586965,1.4769909,8.68623,34.615257,6.7128725,2.3050933,3.4351754,3.7860878,-0.68853664,-0.2897337,0.088134035,-0.55949205,11.037675,3.4384806,2.555372,3.7293117,2.5013564,14.49842,5.537084,8.187583,0.87107766,-1.73717,3.8677375,3.799653,7.2079988,3.3933043,5.6042566,5.979991,3.0687559,-0.73537976,3.120981,-1.8240889,4.332155,-2.565627,13.055836,23.020218,2.1363108,-0.36662024,2.580046,-0.9111398,1.7048194,16.060953,-1.4338648,1.5618149,3.6996357,2.298087,-1.5480618,2.241477,2.7416098,3.3926964,5.813997,-2.6969075,-1.4145404,-1.2259845
7.jpg,17.493206,2.9732175,10.061054,15.712497,7.6798277,-5.9981256,-1.0132471,19.558636,9.743481,2.8913493,13.34116,13.773392,8.484887,12.956831,0.06771572,40.257286,9.125484,5.206886,-1.4516394,5.2112985,8.375517,-6.0992317,-1.0258839,21.035872,3.4063983,14.034512,3.5734959,4.1521235,3.6634638,5.362837,10.955289,5.9942856,-1.2891313,1.6998198,10.834256,14.083497,-1.8230121,-3.642277,7.5742507,5.898959,3.6676455,-2.7483974,0.7248637,-3.2546864,3.7931123,10.627004,1.2080487,27.041975,2.745861,1.1203065,5.5974383,1.0270967,2.14256,0.027704937,4.823185,-0.32261127,2.2847981,4.2460165,6.1479716,-0.048548892,7.883525,1.3920364,9.927016,-0.80273217,2.2821302,0.31565848
8.jpg,27.90813,-0.19127858,5.071513,4.836216,3.6336467,5.509064,7.3253646,63.399273,12.084627,1.7718881,22.817589,3.372881,7.647343,13.627219,11.762906,9.172144,-7.4338393,6.2841973,11.5353565,4.6274695,-0.74745065,11.399288,6.5336437,2.9687486,1.840399,0.7454329,6.6931157,1.4518552,3.4156063,0.9567036,2.139642,2.8536477,0.32179895,3.4885988,3.7233143,4.440806,-4.479568,4.7601943,3.786505,-3.6346474,-0.00032740645,-0.70240444,0.35674885,4.873713,1.0301275,-6.656505,-0.21801302,3.3723896,2.482493,-3.439714,0.12516905,-1.5416839,-2.6291199,1.1881324,0.2730199,4.7262564,-0.42160925,1.7060392,-1.5506134,0.28844228,1.4325287,14.383099,8.919298,0.87412035,1.4781026,3.4722672
9.jpg,13.614112,4.1894116,22.782166,21.515125,3.773003,2.524557,0.7193364,21.680511,44.54614,-6.6725626,2.5919807,9.082375,18.710814,2.0648506,1.0983815,29.22136,-1.365363,3.313983,3.9473138,-1.7832409,6.597244,5.290349,-1.2827731,0.8452005,2.1481884,3.316091,7.670112,0.85050845,8.300402,13.219695,5.308168,7.499798,1.8936306,1.4430367,3.185172,1.5333098,3.1181324,3.5445545,11.90299,1.7915447,-1.832926,-3.4364223,3.483649,1.9900975,3.407773,-0.10405919,3.0779998,22.62359,2.312525,-6.142583,3.3552675,-2.8776252,-0.7546396,2.703378,0.2014525,1.655468,2.2493215,6.0771594,-1.451802,-2.2904162,1.5885584,2.9436772,1.8679641,-3.960811,-0.0946953,3.1697392
