image,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
0.jpg,-2.7581847,4.259205,33.84211,7.5621276,10.906094,11.936111,21.944246,-1.1177623,20.04134,5.7685075,7.501467,30.0832,14.302221,4.2763844,19.693487,6.611721,-0.42646155,4.3658543,-1.3266232,6.3968234,-6.50019,0.4431992,5.8465414,3.1049953,8.284602,-5.099649,-5.780558,9.767966,4.4385724,2.5481024,2.484895,5.7491007,-0.69979745,-1.0409005,-0.32076138,1.6887807,-1.0949273,11.240639,-1.560927,-0.24871975,-1.3691597,3.6553762,7.33208,-1.8744591,3.2822356,4.636183,6.0429916,-0.20591067,5.926845,4.537771,3.731403,-1.6717155,-0.7045998,24.413364,6.6800184,7.2663026,1.5119044,5.018449,1.4729118,-0.3341686,4.4859376,-1.2012489,6.1975107,3.4117599,-3.3293333,0.78121275
1.jpg,2.0890162,10.937192,23.147785,18.626516,9.11252,0.9958785,10.811175,15.575782,30.322319,-1.454767,7.7533917,14.859928,6.257852,1.8842664,8.964981,14.223073,7.596948,10.886489,6.3565655,-1.2972419,1.4835702,-2.2843485,-2.497619,23.363163,5.4723063,7.0221515,9.905002,13.721198,1.183413,9.080566,8.266703,1.5037985,-8.413851,-1.0606945,6.148358,7.4534774,-0.57673275,2.7510335,9.1090765,11.612118,7.590455,-2.3594663,3.1854603,-0.43481106,6.40178,10.492391,2.2272997,12.48447,-1.3859993,7.5855374,4.375255,6.861872,-1.0089351,9.658655,0.39656347,7.81574,1.4959886,0.88471735,9.704166,2.709911,1.765977,3.479138,4.258546,-2.56316,2.683123,0.21847872
2.jpg,-1.7225273,9.622,26.756054,21.09158,7.9259343,1.6102431,14.057157,11.183563,35.725243,5.111843,4.824418,12.163811,18.592184,2.3026812,6.8409996,17.421888,5.7488084,0.651167,5.15922,-2.386471,-1.807048,7.179879,2.0773816,4.604739,12.973395,-6.96749,3.7821882,10.703163,5.6321015,4.3669977,5.195518,4.1370697,1.0529855,1.8302656,2.9841335,3.8235278,2.4605074,2.2931688,4.828229,-0.42158234,5.1817164,8.595042,7.280808,1.1989626,8.811693,3.529419,3.5173275,11.530458,7.8257093,5.492441,4.8999114,2.8920393,2.3829815,18.484795,3.3346257,8.259044,4.554111,4.1658945,4.702613,2.3289871,3.3997521,0.8431448,3.6232016,0.4122642,-0.35872012,6.46393
3.jpg,8.41486,15.485205,28.927883,6.9244003,6.3863144,0.42545554,11.216606,11.000061,19.749912,0.6953242,5.8393025,22.383144,17.834576,3.8723507,8.572467,15.075543,2.1386926,6.7244606,11.577553,1.0284636,0.07655835,3.5153065,5.785875,4.122708,8.999886,-5.415727,1.2230942,6.4336276,1.6222355,1.7796085,4.220051,3.2364254,-4.7520146,1.0313108,0.4786821,6.401543,1.5736889,3.5745516,10.632363,7.6087346,5.4431143,4.954885,5.9721913,3.5893784,9.983158,2.4506698,5.328823,-0.75810933,3.3223913,2.2253726,4.074641,2.3448331,3.1426153,17.396343,-0.9866588,4.660101,4.9061494,3.2453737,6.392143,0.35928452,3.3539155,3.1906698,1.5043125,1.4628295,-0.35934922,4.8876734
4.jpg,14.977222,10.113849,12.230935,7.2294364,-1.9171581,4.6560674,7.379817,0.7701763,22.913609,5.287436,8.412857,23.737226,14.405529,16.584026,14.666261,56.428886,2.1538177,4.3559294,-0.3319579,5.286938,-1.0358714,3.3538415,7.2312994,7.560467,5.596432,-1.1853622,1.425636,8.022281,0.37385732,8.929135,0.9892431,8.463769,7.5967402,1.6260214,0.31360984,16.636473,-3.1688764,5.6465797,3.9200897,-1.7164216,0.2320185,3.8593383,2.068169,1.5391183,6.669593,1.0474715,9.175139,5.825408,1.4475691,-0.61900926,5.9678893,2.3533554,-0.049352415,22.254665,1.1606351,3.922696,3.069089,4.520419,3.0996127,0.6750906,0.58945864,5.4063973,6.2528424,2.6597018,-0.2606623,-3.4611106
5.jpg,-5.213893,37.805046,26.97819,7.664883,38.823654,1.2383062,19.998705,0.86674774,30.681742,0.15093443,3.699832,18.112288,11.310331,-3.4018989,7.527579,6.00074,2.2703707,15.98669,4.7309237,4.1649337,-0.57349646,-1.9009259,11.103108,2.1275294,3.1915646,-1.0316011,-2.342738,7.456474,7.8049884,5.783527,0.17278753,2.369434,4.6314044,6.312006,1.4419482,9.133739,-2.9484994,1.5327039,7.170077,-1.1608554,-1.6920743,-1.529338,5.167824,-0.42595994,3.2041013,0.13751486,7.952454,0.680372,3.8973749,0.5199611,7.0057764,1.8463492,1.5751365,18.19362,8.439458,3.7792404,1.0882478,4.3630815,0.77036077,-2.8734128,-0.29189253,-1.676036,6.460575,-0.98221433,-2.5578325,-2.2829273
6.jpg,9.320762,10.181454,14.982885,20.194748,14.493914,11.030248,29.781666,5.741878,27.403408,7.511205,3.1277962,14.588306,2.83737,-3.6007257,2.2496083,-4.1865134,-0.9068156,7.494597,2.418181,-0.89873064,7.2217307,14.279133,2.1160915,4.394264,7.8653827,2.9001534,1.7471386,5.6091404,15.047354,12.263048,4.176029,3.0651371,-0.38330323,1.9460715,-2.0386224,-1.5491085,-2.9968154,12.190585,1.1067333,7.581164,3.7025414,2.9661427,4.306513,0.9028617,-1.5241195,1.4824473,-0.66094446,7.491864,0.9676462,4.979568,3.5723586,4.298446,-0.14828286,9.4881115,-2.4485795,3.540828,12.436906,2.9758065,3.1904504,1.7292835,3.2211885,6.2985754,-0.53043807,4.257208,4.309196,2.6284707
7.jpg,8.30673,-0.23923264,8.483913,19.92145,-0.71667844,1.5199939,32.427094,14.802699,32.288303,5.2756534,4.340048,18.24707,10.309584,3.7840679,12.409531,9.633823,3.907532,4.3146253,5.794721,5.0281057,4.3420815,5.6948576,5.9203534,0.45560816,17.123507,2.477519,12.563968,5.563413,6.773796,2.4585512,6.9062853,7.474392,4.2745285,4.6854963,-3.5311692,1.4260134,0.8409646,3.5499296,9.338123,0.5376874,4.662646,5.5208173,4.4293356,-1.1887705,3.448467,1.7060187,9.117279,12.375493,4.753996,7.8719893,5.617525,12.769705,4.256704,6.6573114,6.789867,8.111238,4.4996333,0.84683496,0.87348306,5.142669,-0.5172629,5.2144117,0.67249227,-0.49293172,2.241357,3.018595
8.jpg,12.027025,5.249409,-2.3972592,19.838799,5.6211343,16.262684,18.892006,7.7297373,15.280156,-0.3205167,1.20373,25.700443,9.7435255,4.918729,25.058147,1.1103725,3.8282092,13.380234,1.3265616,1.7296419,-0.06710133,10.91385,-4.2511916,7.5698266,12.169098,5.401355,7.808097,7.6364183,1.2589766,5.397078,14.727595,2.6516457,3.005393,0.49753067,-1.5462077,5.675689,0.13333988,1.2394884,9.500634,-2.2002425,4.992225,2.2995381,2.9998715,1.563238,10.3770275,-1.6639173,5.700787,0.58306205,2.1455984,5.7227697,2.0146315,18.02064,5.707292,-2.4217691,-0.9469794,1.941197,0.4280221,-2.4121897,3.6359348,5.23227,6.718412,2.3284786,4.193544,-5.5479026,0.5248139,-0.15074623
9.jpg,8.414903,12.590543,10.362544,25.749088,7.4095974,6.3580914,30.180914,10.776627,47.778862,6.8247447,2.9484558,10.458854,7.88841,5.5877037,3.1390011,11.777635,-3.3316302,7.595828,7.0757537,6.6258907,0.9313883,-0.9478528,-0.5239344,5.601589,10.989283,-2.5262384,0.71033406,9.402995,12.70383,12.675646,5.2393394,10.197202,1.8795062,2.448456,1.9169672,6.7007184,-5.287087,2.7212646,0.6284346,1.0897566,5.190055,10.911423,1.0399783,3.2858472,15.314993,4.0871725,5.3420877,12.336368,2.6640568,0.38646218,7.462193,12.167885,-2.6292384,3.547485,5.203215,4.8369718,2.5479987,0.45715305,7.039265,1.8010448,3.3157535,-3.1661012,3.6050518,1.1017265,-5.298156,2.6215236
