image,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
0.jpg,32.757973,15.80396,4.70587,11.127263,7.002519,46.28889,8.717927,11.664708,9.697851,9.438925,21.020699,17.681036,2.0124729,1.3393207,12.192817,-0.61990047,-0.0772031,7.0853777,4.336173,12.662347,-0.93013996,9.640785,3.2261431,3.4808874,9.17816,-2.7902825,4.28059,22.016516,0.94666547,-2.4914033,-1.128888,1.386481,8.015958,5.28178,13.814881,3.8575723,-4.0470953,16.199068,0.23136213,-1.1657766,-1.018528,3.7867942,2.6203585,11.091096,8.311001,0.8443082,11.492585,0.21792622,12.8168125,2.7624433,-0.69886893,7.2553434,4.3216014,5.6082582,-2.2895596,0.06588632,4.251071,1.1827152,3.212648,3.9140873,6.497669,-0.11886358,6.9162498,1.7593764,1.0610353,-1.5313722
1.jpg,25.806349,51.149185,3.8327434,4.965115,12.684558,36.18294,7.3513613,3.7994843,1.274691,8.655369,8.20948,8.71281,-1.8278499,-1.7910712,8.355711,-4.999099,-0.44761997,13.87177,1.4268668,12.001896,0.53193986,4.517272,4.518738,-0.22544277,3.4706988,-1.1309351,22.017487,21.384613,0.3765246,-5.398228,-0.6802002,-1.6344537,1.1441205,2.4547172,5.6125274,2.1355374,-3.9024506,5.5385685,3.7968717,1.1808921,-1.2356635,0.6602627,2.8377473,6.454602,1.6768234,2.7812104,8.035531,-0.5580589,7.5116954,7.0617394,-1.5319282,7.733774,2.918769,-0.5767899,-2.1926363,-3.0529785,0.64895415,4.357092,1.032052,3.2073646,1.8399798,-0.36711526,0.058286496,-0.5126536,3.4240324,-0.42159283
2.jpg,41.745,20.753496,-3.1063843,16.002432,3.5838275,47.750412,5.8565893,11.027658,3.7822776,11.748036,11.917813,15.62559,-0.36525849,0.24767667,11.570024,-2.4971716,-1.8086871,9.188614,4.139804,14.186582,0.6982828,11.70444,5.787367,6.0829444,3.4586298,-2.877336,8.83389,25.889528,1.7553641,-2.515247,0.4195502,-2.4366431,7.9646893,3.727375,9.603461,3.5901792,0.35938156,15.002558,1.2583978,0.22710943,-2.8826306,4.598409,4.0957522,10.758697,4.943574,-3.945911,14.007002,-0.1083225,14.923793,3.8564167,-0.3983656,7.6936097,5.2078223,2.6490757,-0.48024496,-2.6312716,1.9306332,-0.37841964,4.2717447,1.8338845,7.8650074,-0.5810188,-1.2267796,1.0475003,-1.2407342,-0.46766344
3.jpg,23.465286,47.614132,5.847044,5.6429253,8.3124275,39.495583,5.988893,5.7773933,4.628373,7.018558,13.683224,4.4667215,-2.0401783,-2.3529968,6.9705358,-3.2987385,-1.357417,16.451504,3.4193928,7.466918,-1.3250742,18.715115,1.1837314,2.3876698,3.9488456,-2.7770507,4.2075014,25.97019,-0.49282396,-2.8199778,-0.99642575,-0.84655434,1.3208375,-0.16937405,4.9941473,1.4995776,-6.3371344,5.7901034,3.9926343,0.30405402,4.2149663,2.645747,1.1275988,10.263776,1.0333282,3.2247179,10.483194,-2.1867292,6.1443415,1.4594469,-2.1991231,8.271195,2.058523,1.5029438,-1.4323777,-0.03097523,0.09480342,4.3239727,0.78545076,2.897868,0.9423835,4.41162,2.2504516,-0.53815806,2.0834851,-1.2386904
4.jpg,29.26358,39.503906,3.1737819,5.477277,11.90364,39.50646,13.471809,7.3681607,4.979611,1.9537009,21.368204,14.050962,-1.7273595,0.5917728,5.5341706,-0.18908232,-3.0377095,16.271563,5.3286557,8.026087,-4.361571,11.192739,-2.0386431,3.8433414,3.6182616,-1.083447,-0.501407,27.983156,4.034183,-4.4587946,-1.7208658,2.4128659,4.550456,0.73101133,4.961263,0.23544393,-8.051216,6.3171773,4.3706307,1.2275815,8.888292,3.0248556,18.017963,10.333848,1.1667278,3.782081,11.412217,1.8535097,6.19726,4.8277197,-1.6543068,9.680882,0.81781,2.974365,-3.9872334,2.1737967,0.42350906,5.4291186,0.84981906,2.4260852,1.5771259,4.5732627,4.794433,-1.2499511,0.16778363,-2.7274387
5.jpg,41.62219,42.05338,4.224714,11.866289,10.436758,37.954422,7.5632224,8.5978,7.4973927,4.968347,10.749762,9.615839,-3.61989,-3.627469,3.3306017,-4.747651,5.306686,13.66062,4.5510135,7.816973,-2.278857,8.290712,0.1918113,3.7149935,1.8484019,-0.6767668,3.5532885,26.582691,3.6969683,-3.3233185,-2.9911385,-2.2659266,1.2736595,1.3821973,7.931304,6.123481,-3.8651216,4.417662,6.624873,2.3395758,1.8422649,2.4700313,3.0919778,9.492289,5.2994127,2.3485365,9.196699,1.9435458,6.986723,4.060104,-1.4505752,8.61677,2.9078434,1.7212346,2.3757725,-3.3628657,2.6795986,3.0810623,0.5321448,1.6639755,2.7446938,2.148657,-1.5812093,0.37316597,-2.5046253,-1.4408679
6.jpg,27.589407,51.40932,1.8389888,3.9587948,7.305427,43.84489,8.473537,9.628915,2.2495327,14.897209,10.3315115,2.6625297,-0.94488806,-4.2946315,7.057332,-1.4447495,0.112837225,16.16447,4.905586,9.067872,1.3085973,16.620192,2.8736422,2.8684254,2.719607,0.698167,0.26237118,24.636946,3.1836338,-2.3102455,-1.8043376,-1.0453042,-0.37805647,1.6007032,5.305752,3.170281,-6.46834,6.340877,3.4299195,2.5358262,5.7775383,10.228244,1.9213123,11.549895,4.036271,2.905141,9.545972,0.36014202,7.2252326,3.177325,-0.82510376,9.8582115,2.751644,0.69457084,0.37632698,0.48225027,1.7716829,5.418329,3.6277816,2.6173766,2.3741744,3.4663477,2.3572059,0.46669543,1.8038154,-0.08773361
7.jpg,34.367355,36.80883,-0.62940633,2.4777875,16.826445,38.71959,5.5440216,7.4269943,-1.397639,11.476058,15.956921,11.080866,-0.99117273,-0.3648367,7.6659403,-5.240176,4.513921,11.455445,3.6613946,12.145409,-5.0755296,22.58251,3.8836281,4.1866755,5.4017844,-2.0195446,-2.5343153,27.31068,2.1405208,-2.8787751,-2.3956318,0.13928907,5.491487,2.8533,7.6360435,4.4942403,-5.84778,5.5288496,5.4583006,2.5600169,2.7641997,5.249343,6.6091256,10.175951,4.6334863,3.5777583,12.679124,-1.1015525,8.165878,2.7364705,-1.2730609,6.8628845,3.16508,2.0247743,0.05654916,-0.59072065,3.9470644,2.6191418,2.6295595,3.079654,0.039226934,2.5016189,0.3380728,0.66129917,-1.6077665,-0.96141565
8.jpg,31.406202,45.448174,-0.12831432,4.8356094,6.4865513,42.43361,5.711556,9.4015875,1.5705973,7.911004,19.835571,14.832713,-3.7204757,-0.62564975,6.7320943,-0.16051503,2.28923,15.948937,4.1819286,9.099231,-5.288927,17.969503,3.1714902,12.286301,3.991,-1.8758694,0.018008541,27.901768,2.33713,-1.5733924,-2.383366,0.28450057,3.4866788,2.1880322,7.9107804,1.3480891,-5.6292925,6.1354723,3.7207239,0.6272596,3.1912253,3.6599379,2.22183,11.9487295,4.24867,6.465141,8.698319,1.1053199,6.503766,2.4203193,-3.0381258,8.020522,3.183075,2.0085614,-3.292118,-0.12521558,1.9698298,5.422525,10.574571,3.5031161,1.0149509,4.300353,1.9323707,-1.1560277,0.65446085,-0.6814815
9.jpg,18.511642,44.175083,3.0971856,6.5734954,11.132307,37.855453,11.926993,8.441358,6.402263,8.774174,9.674411,17.915197,-0.6538018,-5.672432,5.7332373,3.351609,-0.69703394,15.617675,2.7436655,10.70389,-5.88443,9.623375,1.2400266,6.3001513,4.4462323,-2.3794844,1.7408576,23.106213,0.8953124,-2.2785387,1.3470236,0.04437156,-0.2712432,1.4682071,9.220586,5.2929306,-5.7557173,11.903939,4.1274123,3.9077203,1.6168641,7.1820865,3.9198523,7.696455,27.375656,4.1201444,9.304301,2.934988,6.3697286,3.8379445,-3.761297,8.999315,3.159731,2.2296321,-1.8656999,-2.346193,2.5966046,4.781683,12.035084,-0.102800414,3.8075309,0.35925078,0.383598,-0.65493286,2.9456148,-2.1793618
