image,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
0.jpg,6.387622,77.49203,-1.3061008,1.7324759,7.4681087,5.1434097,8.985557,2.913237,1.8179135,0.8461879,7.1758757,12.98742,2.9414876,17.115528,6.0732837,6.7921705,6.82765,5.2273197,1.0832138,1.8455538,-2.1050131,5.6028495,3.3353877,17.048397,4.221471,-0.18434091,-0.45819414,7.0795884,7.169309,1.7538916,2.6554198,4.301709,2.5889137,0.7933322,-1.77904,5.7914205,-3.8892367,0.9479298,1.2195777,2.7341995,0.3816172,1.9428145,0.096328,-0.6967104,0.50686616,0.8885458,4.2238874,0.67575353,2.8025787,0.29356134,-1.4782073,2.2835326,2.9119663,2.46813,0.8978198,0.26597968,1.517881,15.087565,1.7803289,0.22741315,1.2798252,-0.88619405,2.5334423,0.5537119,3.7540448,-0.4463887
1.jpg,25.524065,3.3104732,8.094212,22.511501,2.0184186,6.815591,13.658905,9.286539,25.534874,8.374294,5.7899013,25.798126,9.382532,-5.318953,10.224897,11.750081,9.158589,-0.7740735,7.2255177,3.1850111,-0.015916489,3.5320957,7.3281536,6.179984,22.433653,6.8687387,7.197921,-3.0185065,9.138565,4.630293,3.3182786,2.9001608,7.6863728,9.641115,7.4663,2.790236,18.294718,5.4991336,4.339219,4.8791213,4.0677266,4.648883,4.627886,8.038794,5.7326083,0.75920886,8.913547,5.368977,10.957536,5.184535,14.6581545,5.349533,7.477964,12.810954,-0.23212726,13.013813,3.6027648,9.699834,3.521061,16.233969,2.2616751,-2.034669,3.374732,6.1605783,5.0398574,0.55049306
2.jpg,21.402216,10.675164,5.181779,14.174247,9.798498,42.293896,6.251347,4.3355465,11.322196,9.599952,11.325777,8.888241,6.3465433,6.581252,4.9040465,-1.9859924,1.494254,20.153275,20.79492,-0.26591885,2.0509284,19.61453,3.401769,0.6161887,4.1722374,-1.8113397,3.367783,24.149782,10.75961,8.116808,2.137449,-4.4892535,-5.1262984,1.7225266,13.430947,-1.2191141,0.09623219,14.709951,3.3140018,2.9272234,-1.7971177,3.4362767,1.3847001,47.735493,4.1613126,5.211474,-0.04107065,-0.62911725,5.034253,9.005553,1.8932714,6.2863684,-1.0191381,3.0609865,1.0719082,2.2263155,10.064388,2.5895889,0.69356674,3.0438654,6.519298,4.0260105,1.3009068,2.4310465,4.9601755,-2.181496
3.jpg,36.694363,4.7902365,7.815639,16.912443,-1.6362618,33.30203,2.9193118,12.21191,33.28715,2.6034656,15.418423,7.5541773,7.01235,1.5166677,13.006052,3.121369,4.3319745,12.52754,14.996919,6.2781596,4.4382052,3.862383,2.2072778,5.1435165,5.825497,0.8869715,2.8646379,9.112662,2.7284098,12.843129,0.76678675,-0.7581358,3.5519774,0.030712295,7.5958834,0.24246578,-2.316705,0.41094306,4.627366,-1.2452914,7.296394,-3.2376933,-0.889645,35.104984,0.04658678,1.3709892,7.747184,6.363991,9.57161,4.4225326,8.033613,9.162669,-2.2093694,3.2028604,0.85643095,13.648015,6.816502,1.1563792,-0.23307669,4.9645348,1.3611109,8.229357,8.923786,-2.3530607,3.6531072,-0.71905535
4.jpg,22.916872,-2.173005,12.472941,10.250638,15.549233,1.0726608,7.660454,47.66465,13.411029,14.123132,5.8684998,9.290995,30.156109,5.177252,1.0937701,22.154366,11.254381,0.47739643,23.860683,14.5544615,13.298427,4.60409,6.463324,17.076155,10.489592,11.402799,6.273356,-0.84546113,0.14225365,-2.9912915,14.070771,9.205177,-1.6582433,0.6967841,16.989548,5.08856,6.486559,8.968327,6.107207,2.7861595,0.31339666,2.547997,6.3392544,1.6157178,6.5697165,-0.32865596,4.478081,8.491375,9.482248,1.3851951,-0.19104882,1.7472606,-0.23521534,5.3614826,5.07175,4.605398,5.0400968,0.18830432,4.2997494,2.891086,4.1218185,2.568557,4.201831,-1.7211384,4.526907,-1.721964
5.jpg,3.4896328,75.65791,12.030639,1.7617015,28.449001,3.4691577,8.153568,1.2605562,4.9131184,2.2993877,-0.38682586,13.376135,5.209683,3.0868835,0.75824445,0.82049406,5.7481923,5.853154,2.961682,-0.30520698,7.4604445,0.08038986,9.611182,5.560806,0.9591553,0.3394722,2.0310535,9.8072405,4.5813875,-0.19278312,-0.31620142,3.5461411,1.1771321,6.597062,2.5604732,3.4206243,0.024885172,2.6959398,1.313106,4.019425,3.9451816,1.0539806,12.04256,0.3195742,4.2468166,3.8812068,-1.6671157,1.5905149,6.616296,5.142214,1.2284596,-4.3357296,-0.24999025,2.5820518,-0.7633286,0.4392894,2.4565086,3.9078739,2.1437876,2.599126,-1.5717946,1.3671983,0.075725466,-3.6861289,4.9600406,1.1505473
6.jpg,34.06371,38.35202,-4.1920605,5.33278,-2.191413,28.259636,6.1886735,13.262903,4.254161,10.262474,19.907629,8.203279,0.07307017,8.161088,2.9602022,9.219744,2.601299,33.956085,1.5934404,12.27967,-1.193426,4.657719,8.819927,6.8063865,5.143612,0.28295875,6.1445885,14.925669,-1.0146453,-0.40283585,3.8906887,7.459931,-0.06982125,2.0789626,9.983487,3.0436952,2.4019094,2.8731983,-0.9919293,-4.8196597,-2.4042175,2.9350731,-2.7321854,11.348346,2.5493824,2.7784545,6.2942085,-2.1500733,4.9458847,7.934927,-0.7602501,6.561815,-1.0874858,4.862122,-1.7680298,2.6147234,2.3667872,-1.5150074,1.8601785,1.9635856,2.530189,6.142267,1.0697372,-1.8468182,3.5396793,2.5743606
7.jpg,10.019859,4.1287193,59.118736,5.457421,0.8140549,11.727522,2.671931,4.1593847,17.764652,4.62894,31.09678,4.02807,-0.44401294,-3.65498,17.249533,8.359162,4.4733253,-3.214461,5.1062117,2.0510457,0.4206285,2.7609167,4.1044927,4.2653174,2.3663325,-1.872723,1.0011994,5.8644676,-1.0761194,8.535252,-2.5864894,0.8666166,2.3919518,1.1820108,0.7402297,5.283136,4.0738354,1.0885203,3.733829,2.4310482,0.75777805,3.8565636,-0.6915608,-0.56363606,2.9037397,-2.6814532,3.1828442,-0.12540147,2.581426,-0.5038275,2.9943626,0.7125037,1.3911356,2.671054,4.685158,1.5020909,2.5563126,1.76061,5.2560368,3.7781968,2.9138434,-0.85077834,3.8475156,4.854018,-2.3582208,-0.15446763
8.jpg,-1.5357902,16.559704,73.62669,6.4126124,11.162495,-3.379227,-0.64159966,5.734124,8.281233,0.11996459,2.4789248,1.0487655,15.02897,2.9591382,4.7816305,3.840032,-0.3648743,5.1025434,4.34434,5.6251245,2.6884768,11.391213,8.035402,0.92844677,-0.48661754,2.2599392,12.425018,2.707657,5.4266376,3.3450801,0.5039621,0.8952344,-1.5639197,0.0011635944,2.104501,2.87833,-0.8750947,-0.71972275,6.094477,0.8955203,-2.4710114,1.6420553,3.2768314,1.0698551,0.38663107,2.3068726,2.6238713,0.39518344,0.89849484,-0.37545174,-0.90463144,-0.36460346,-0.14883038,0.7015134,22.732018,-1.8798996,1.8069559,4.49396,1.7818662,-0.9508224,0.34645587,3.5350237,2.7150886,-1.4130194,2.2505407,6.8834534
9.jpg,19.367865,-0.19217183,32.5688,11.465633,6.989356,24.09755,16.377853,8.004541,16.437716,2.8900278,14.371061,6.168119,11.822649,9.0493,10.630538,0.3185279,-2.1664124,-2.1062582,-0.6092896,0.7324757,3.7592475,2.8790662,3.0934618,0.40614513,8.186373,1.2474146,4.172591,5.7815814,5.4738703,1.0086442,2.3549483,10.483952,9.412966,4.573012,2.6453156,5.71422,4.9479184,3.910164,4.7611403,6.704618,3.8109958,2.5696476,3.4854736,2.5963354,8.682401,-2.9303615,13.013101,-3.6954038,7.2562494,3.3205054,2.1404414,9.465117,4.8120174,5.7990613,0.9445066,8.857496,0.039561465,0.54003394,5.394573,2.8629463,3.8237226,1.3223186,0.5218868,7.9200053,-2.3305707,2.8581598
10.jpg,16.686195,15.842338,8.761724,5.851037,8.400252,8.102275,4.6738563,13.56466,21.16241,-2.9348106,15.978355,7.944542,8.66767,17.949379,8.185116,46.516808,4.0952196,7.8912573,7.500451,4.372964,0.19160253,3.2885816,-0.2263031,-0.24226159,13.382668,0.13013668,5.4176526,3.9894798,-2.2439945,5.2328286,0.6856506,14.424472,11.088789,0.08574768,0.9863584,10.5872135,-0.104725316,5.267631,5.7132034,1.9054321,-4.2692175,2.3310962,12.6785145,1.4746327,0.2164545,-3.0428956,11.920477,7.54965,1.277587,-1.0034239,0.9938268,4.1522107,-1.264386,2.9337547,-1.8950915,4.170383,0.42044038,-1.0147829,-0.35591075,2.5215156,-1.6846776,5.0891185,5.2904906,-0.86968195,-3.690397,-1.0103552
11.jpg,21.699942,1.0496762,37.944637,7.1023955,4.4741096,14.392357,4.7461185,21.135994,22.386147,-3.0428813,28.139734,0.6400023,0.6461115,2.4044328,5.415479,6.842289,-5.929506,-0.068195075,3.1897943,-0.5331194,0.38578972,12.2014675,1.4780385,-2.526194,8.504059,1.6095772,9.109003,6.1887665,5.9990325,5.0880966,1.5376123,4.060304,-0.6403893,2.26584,-6.075754,5.2631974,1.3903633,6.800151,2.382396,4.424199,2.1544948,3.8135045,2.9848835,-1.9392846,1.6739948,-1.0932124,3.7994943,0.6224735,6.3265667,-2.3294783,5.950438,9.191311,4.094084,3.9434047,0.6690961,16.036528,0.5356332,1.7533373,-2.8323367,0.67010486,-1.2545729,0.537776,-1.8945476,2.237224,-2.867084,1.906445
12.jpg,16.18379,7.7746644,13.89815,7.05395,1.6239501,9.831769,1.4587257,27.133554,5.7880816,1.9155539,4.7225704,2.7334435,19.141975,6.3733873,7.7619023,1.216573,4.8004227,15.180263,62.240498,2.1426206,13.69828,8.314855,1.0785003,3.4904778,5.017698,7.2004423,2.1717708,5.7394743,1.6498953,0.8636316,0.9515191,0.1040278,3.7450604,4.2227497,-0.6010441,4.784336,-0.93182784,-0.1216887,19.612225,4.263626,8.155972,0.7512571,-1.7080154,3.9468725,0.8744102,2.245041,5.6896853,2.9942832,6.608511,1.2203517,2.4273422,-0.92515284,4.2033024,-3.3941298,1.5643084,6.7835836,2.563315,-3.9800584,2.791469,3.0020225,-1.6307454,13.451608,0.85090834,0.18240722,-0.53775823,5.674373
13.jpg,3.9180174,4.3327365,58.45431,16.415564,1.6369557,12.423594,8.424213,24.86722,18.749788,5.5473623,3.0322752,2.1425378,4.3737597,1.8514205,6.027691,6.5869465,-2.1618752,-0.8617997,8.378546,1.240601,7.4531565,7.4572744,1.0126948,4.7567616,0.84365624,4.617852,8.378744,5.4324403,3.3619735,1.1920134,-1.9659185,1.1448907,4.8365107,-2.4514449,3.495517,-1.0411879,-1.1089404,7.3934593,10.674347,5.642537,-3.865153,2.4739392,1.4377209,-0.7201543,3.3102021,-4.435331,4.516628,4.3115473,12.164717,4.3220067,6.9264846,1.0027087,-2.741799,5.28267,4.204397,4.2245045,-0.034071133,-2.278639,-1.1494457,1.9111425,2.5560434,2.187778,-0.15549296,3.1320102,-1.5116178,2.8762112
14.jpg,3.8723052,1.6175877,81.28754,5.518238,9.5439005,3.70083,0.23037298,5.2766213,4.988845,-1.4022804,-0.8920638,9.706992,11.204071,3.9730098,3.341961,3.2924376,0.82727325,1.3990816,6.4231105,9.425744,5.685067,6.7758055,3.784271,-2.413041,5.5098767,3.2119744,10.951118,1.4922814,-0.18268736,2.567557,4.6848946,1.1675844,5.684437,2.9957926,-3.3172066,1.9496886,4.780804,4.243625,2.7447398,7.5220876,0.23485273,1.4448913,2.1288764,-0.23280063,-0.61993587,0.7491948,5.0769515,2.9655743,0.7458323,1.2498659,3.2701302,1.0048531,2.93932,1.1160878,12.156645,0.13545342,3.4662056,2.7547374,0.30856174,1.9285865,1.9411538,1.3722486,0.7711586,0.59634197,-1.3554511,5.732491
15.jpg,22.73193,7.311035,5.3262734,4.693366,7.9351664,16.72804,-3.5813942,10.373161,24.539019,3.9792948,5.41338,6.962604,23.811731,12.431085,12.618354,50.955963,9.330618,3.3127244,6.983798,6.7711496,4.003908,2.3100908,2.016773,3.4958243,13.877407,-0.17727837,-0.5250118,7.673764,0.41280192,6.6061378,-1.0109512,9.438779,15.304216,-0.2649615,5.215293,12.997076,-0.6025686,4.885752,5.1715555,1.2579726,-2.8462014,3.9248924,2.9641557,0.2649841,2.8788645,2.3047373,13.93821,9.718403,5.074354,-2.869702,3.0575972,5.1832976,-1.113394,2.0890992,-1.4549807,0.66198206,6.064364,0.44086716,0.6286172,4.004032,-0.19846137,4.4296823,3.6825697,-1.1944662,-0.15014322,1.1071211
16.jpg,5.0982814,0.92550814,70.948326,1.709126,18.515833,5.905466,-0.349396,6.4360647,3.8164623,2.5407388,-1.5362322,1.139384,23.969624,1.853267,1.9709849,5.9714317,2.8520095,1.9672093,15.5302305,10.264554,5.647648,8.6743765,7.244,1.5876236,8.327473,2.663117,6.6554785,2.9957588,2.1912656,-2.715407,1.3334732,1.0471737,2.7749197,4.1668825,2.4323132,4.6363688,2.1498616,1.2668048,16.292519,9.153829,0.7476126,-1.1454853,7.1091814,1.4403511,-0.74674964,-1.0602534,3.9020221,8.0402775,-0.6034141,-1.6455684,1.8022511,-0.06736014,2.9606462,0.045307584,6.641879,2.6077056,1.613107,-1.3974273,0.06866799,2.0710495,1.7249846,5.33785,-1.5723819,0.3139053,-1.6417063,5.366201
17.jpg,16.699995,6.9632106,48.157627,7.338199,4.9219766,1.8389937,21.37596,39.22211,12.692973,12.482028,3.011908,0.49700552,6.902621,-0.62214166,1.650429,8.596378,1.311864,-0.6347852,3.5296369,7.342545,4.5937715,6.894134,8.852207,3.5882018,5.186395,5.8639345,13.618525,4.4772887,6.456188,-1.4865881,-1.8453847,4.465894,-0.45779002,1.6996497,-0.65503,6.8529634,1.699093,7.992693,1.7140961,1.2784187,2.5971801,7.231458,3.8441372,-1.0200113,5.128766,2.255274,6.212869,5.4742084,4.653969,2.4268732,11.155667,7.919546,0.49640778,1.8539938,26.370998,5.8781166,4.461756,3.699889,0.93419206,5.786452,2.3528082,6.443266,3.7184052,3.0096154,3.1944985,2.9257405
