image,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
0.jpg,19.148426,-1.9710906,17.98679,0.06544385,-1.1980671,14.692915,32.188927,15.657904,14.266798,16.970608,-3.2328658,7.253886,19.585957,9.486877,14.8273945,22.815569,5.8351073,-0.70975286,2.947374,6.3545465,7.3628163,2.7848315,3.9338522,4.1201854,11.043733,12.247345,6.142912,2.9680808,2.796222,1.6336124,1.2031684,9.795436,5.7755327,-0.09255987,-3.3967652,1.0726532,2.5085478,10.74866,7.034045,9.689696,-0.06437786,8.1022415,3.082121,2.3209224,4.035113,5.304534,17.030182,4.962197,7.661258,5.348351,-4.192485,13.12734,1.674666,3.4710736,16.215021,3.4379785,2.0656717,3.2616127,2.7607293,3.0249002,3.0674062,6.7307496,1.3313845,-1.1879233,1.4787971,2.8803506
1.jpg,5.35108,15.856923,23.41601,6.240806,14.65794,7.2353854,9.751762,12.888469,15.243379,9.275554,6.7862997,8.899154,26.309708,-1.1891487,2.2942147,8.9598465,-2.7267523,15.194626,34.14053,5.5384245,24.67869,3.7342696,4.0054474,4.1332173,1.6600136,5.9449716,-2.2555811,0.55040085,1.9943615,3.3825994,0.41605458,3.0443635,4.3508363,5.0930715,2.1457727,1.3548832,0.22317883,1.0117121,7.9368634,-0.09706726,8.060809,12.452468,2.8084788,9.002847,1.4608871,6.547883,9.056256,6.5490627,4.106292,-4.4304924,2.0736349,6.137298,-1.843112,0.7716645,5.8087907,4.43397,4.7120624,7.4312153,3.5723355,-0.5161448,0.16255769,5.6144824,4.0735326,-7.8290486,-0.521365,3.7262018
2.jpg,17.380375,7.8993177,7.72198,3.9932442,12.930756,10.912622,22.432175,19.997726,15.827878,3.6458306,9.649838,10.914212,24.57793,5.387523,12.050312,5.790068,4.155843,6.218635,4.06633,11.171341,2.0753167,1.6234789,4.6290846,2.4474096,4.8832135,1.239486,2.638684,-0.30822122,0.8021066,4.8139367,4.7291074,7.7732964,4.8894906,-3.541414,-1.4732322,4.796071,1.7232012,1.350788,5.2411923,-3.8078322,-3.6814473,3.9527476,4.207653,-0.24554162,3.4236708,-0.6434873,15.997823,10.78113,11.5244,7.376422,2.8331456,11.353436,-2.8532023,5.208279,4.524465,3.3557062,-2.1850672,-0.24161302,1.8313484,-2.533876,5.648813,3.5297778,2.473847,-4.096561,-2.5328932,-4.740169
3.jpg,35.00615,5.849978,7.671143,3.533037,1.6411312,12.172292,-4.98469,69.35334,8.287055,2.714625,15.194178,0.67941576,8.668906,4.57738,8.34423,10.131035,1.273687,7.7696166,8.220744,2.1914418,2.7293,2.576732,-4.6052866,7.0864983,-0.7629092,4.620352,2.481931,3.454725,0.95647174,2.3029068,4.1699195,3.5079007,-5.6799216,-5.1238403,14.136463,0.0007536262,-1.649631,10.24419,8.433426,1.5436472,1.5886784,-0.094468474,-1.6011201,2.1741,1.6195606,1.9853326,2.2727032,3.2890089,14.616889,4.611143,3.3714771,-0.44867536,-2.4142227,1.9540386,4.9951024,0.93935823,0.6727803,1.2026169,0.35624075,-2.7147715,5.533959,6.0371876,1.8082697,0.98020715,1.1100255,-2.7052772
4.jpg,14.562276,4.7229147,2.457549,12.697045,-3.5880501,18.355352,16.50053,19.759266,13.004884,8.04169,21.569391,28.836546,6.53269,10.69469,18.28888,45.845135,-4.788534,-1.8586026,8.238902,18.05027,-1.6721282,-0.2886544,17.6719,5.523,4.8776813,2.6487951,1.657287,-2.193269,0.81274223,1.6803416,2.8869858,11.264853,4.6769457,2.1698723,3.3548155,5.3034105,0.26806363,6.5108767,6.4721227,1.7751151,-0.9373759,-2.7157485,0.8625019,2.4523869,2.4094772,-1.2913337,12.208956,9.556897,8.530119,0.71675956,0.14208099,4.0668216,2.64257,10.416446,0.7152647,5.7576017,0.6414756,2.650143,-2.2293034,-2.1818657,1.8306177,2.7688982,0.525497,-1.8696659,0.62009543,-0.12247474
5.jpg,12.266538,8.968624,20.74627,2.3740113,37.481174,8.921273,7.2008142,24.888088,15.961205,6.964967,4.507822,2.318087,36.09014,2.77406,7.9181747,3.9273436,0.8979738,2.9116554,7.5908,8.928681,5.978992,5.9027777,2.7339659,1.6536698,6.351105,-1.5545796,3.412434,-0.64372766,1.8617905,1.5467725,4.9583206,1.7756246,4.4210653,6.7122884,1.1343166,3.310018,-1.4984896,-1.4548899,4.055868,-3.4972138,-2.174801,-0.49262038,11.172548,-0.34689748,-0.48603722,-0.19028948,6.884224,13.524988,1.2875742,-2.2990642,2.4147627,6.9724417,-1.4477714,1.0873744,0.4646903,2.0507867,-1.2181729,-1.2761165,2.2330475,-1.7386956,-2.6435695,1.036538,2.2744536,-4.249861,-0.45349517,0.3001174
6.jpg,28.232681,4.298412,14.088887,2.1727254,16.353611,7.886051,6.7934284,18.089598,10.871654,6.422023,5.0092306,3.260503,32.57631,14.706977,7.626079,6.977605,6.862217,10.85833,37.892376,6.0606456,11.8412075,6.9632955,1.716356,-0.24810815,11.685683,2.7115827,13.244902,5.289627,0.75157976,-0.2263288,5.504645,4.473629,2.8243704,4.0789237,-0.7332173,-1.3000306,0.30733112,7.6623945,9.602021,7.4787908,10.282819,-2.0461836,4.1000223,8.913989,1.2204388,4.22525,8.326918,3.9259658,4.2065253,-2.8111582,2.8267608,6.6138253,1.9880157,0.4419133,9.178722,9.917313,-1.2638183,-1.1025597,1.7022603,0.3037267,-0.67104924,2.5284767,0.9929971,-5.3504424,-0.2638542,8.685121
7.jpg,15.996305,5.396408,10.1731615,9.878835,18.467327,36.447,22.789507,20.784273,2.8213995,16.782442,5.319365,10.987713,27.285177,-3.5978093,3.1410184,3.817249,-0.38145807,0.052526407,4.116241,9.69726,8.418089,3.0278413,4.085548,13.435245,5.0087476,2.4550362,1.568347,8.041298,6.0207186,-2.8319268,1.2491071,3.6819592,3.873989,8.331437,7.3229127,-0.48139358,3.8309298,5.0219674,9.4144125,8.738928,-3.4046483,6.6674414,5.8343844,3.1435258,6.1189876,3.821959,16.414934,-1.5139564,10.358593,0.01763685,1.2301064,15.486776,4.0926805,3.2449398,15.424445,-0.22701043,-0.4744131,3.5916567,8.417645,1.6184771,10.986156,2.4289575,2.7846906,3.5864882,2.5099642,2.715219
8.jpg,20.326002,9.619826,15.595087,0.30439937,16.656086,21.078323,9.357692,18.273083,13.764127,11.682233,1.3788414,0.6278073,36.235813,-6.9798603,11.531353,0.14209594,3.8693364,3.7832062,13.028828,5.6826234,13.724077,4.9773135,10.308649,2.310069,6.3395276,-1.8750324,4.301136,5.263818,-1.0124103,2.8435302,5.6574507,-2.7177095,2.4253774,4.9805207,1.6062526,5.0145736,-1.1268104,-0.29467857,11.356141,-3.1113126,2.1764011,6.288722,3.6956556,2.3550804,2.2781725,-3.67698,11.236444,4.260007,7.1458488,-2.2904265,3.456737,15.334744,2.7476032,1.9053109,2.5635364,2.9559917,-0.43499982,-2.3731334,3.8003232,1.2008027,2.5856369,8.170398,1.6027219,-2.4471912,3.0342634,4.2024593
9.jpg,22.48551,2.0967777,22.891062,4.3229737,28.405533,26.438269,7.3686213,14.594483,1.4389257,17.984972,4.3366942,-3.4019442,42.172325,-4.523003,8.231136,-0.1218915,-0.29947078,1.8140084,3.916288,2.109402,5.834107,2.067463,1.9474964,7.0492826,4.78968,2.1491983,7.9835267,6.101182,-0.9999971,-5.97688,1.9627469,0.18338016,-0.8684453,6.408587,1.0785577,1.9314501,3.48877,6.0758276,8.122078,-0.97766036,1.2759566,0.9582246,8.502633,7.451202,2.322025,3.0828059,13.601309,-2.0515776,9.525536,-2.3230681,0.8595006,13.868138,4.000121,0.232644,20.499216,-2.9664783,-1.2068069,-0.35023952,6.9401236,1.3720131,4.717455,2.896628,2.873465,1.8971106,1.7902914,2.0079687
