image,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
0.jpg,9.825078,6.31723,6.0404353,1.6141247,11.681014,-0.3983544,16.04911,16.484934,-2.5436654,5.787129,11.730629,32.20747,8.495967,28.241814,19.432875,2.7452374,-4.8444414,3.7901595,4.076217,7.268708,2.5110455,3.6462176,8.346096,5.490023,5.2720747,2.7611642,2.665144,-0.19202916,1.7063701,-2.2466154,11.679001,9.303333,8.313183,8.236996,6.1055613,7.0066743,4.790673,2.1986656,7.98007,1.7618399,7.531713,-2.2080183,4.5596237,3.2740786,1.5132434,-1.526975,9.312471,-4.8729653,5.437002,3.6594648,1.022479,6.782386,5.172816,-3.7996254,1.4163754,9.035034,1.5063633,-1.5359541,1.478534,6.2071843,4.35809,-1.9916723,5.101365,-2.2356243,1.2527844,4.1443567
1.jpg,15.696539,0.55142295,-1.4306524,1.8724296,7.479115,6.808114,14.187567,13.8814535,-5.6790924,5.3730683,11.8678665,31.501118,8.993199,4.0097837,21.516636,0.0795193,-2.1716628,3.5262372,1.2256957,8.122861,4.1308985,2.1714673,4.680819,10.028282,9.212091,1.5991069,9.236116,0.08612368,0.69393975,-5.4141226,9.900436,8.193581,8.656214,6.1804028,4.2509685,-0.38259888,-4.0590878,0.83285403,7.8493543,-2.709344,8.261775,-2.7740982,6.996393,0.90553194,2.509601,-0.072384536,10.479478,1.4873905,10.947467,6.81606,0.9583887,9.558523,7.3327065,-1.6044987,2.522145,5.3613005,-0.4280158,-2.467168,6.686992,7.3147116,3.396176,1.1355169,1.6317859,-5.5220723,2.999633,2.8563201
2.jpg,16.083885,4.0839186,11.072686,9.660819,5.1766076,2.9128335,12.986496,21.096193,8.779779,9.474304,14.605702,26.269526,5.01257,6.6729794,17.39448,7.2793813,-0.34213504,4.117481,3.7506044,4.416447,6.1967254,7.2964864,2.255804,13.587795,5.340138,3.7416518,7.5798087,3.2786868,3.0604682,2.9099166,8.148232,9.25228,7.135231,5.458519,8.232178,5.907889,0.7452721,9.711747,7.9417787,-3.2740653,9.107981,-0.4478761,-1.4015785,0.9831846,3.784234,3.2517626,7.877228,2.6414537,9.488587,3.2339108,2.6730604,9.729631,4.0075536,-0.9039475,3.759984,6.3276334,2.3449621,0.55812067,7.3108716,8.175674,2.759539,3.5281525,1.2019464,-4.812715,4.822184,3.5293574
3.jpg,6.712964,0.801084,13.671729,4.3477683,6.867137,-2.148419,13.296194,15.530022,1.589042,4.0796304,11.779547,27.336714,5.8388767,3.603912,19.576683,-0.29848608,-0.4037645,6.1167536,7.4873776,6.3523917,5.7652893,4.980548,4.8678236,6.9663577,8.082197,3.566783,10.466995,-3.1450949,0.28027153,-3.0476515,9.782138,9.2347555,8.473577,9.323194,3.25724,0.85218775,-1.7750405,0.63257104,8.85212,-3.8332305,10.182484,-3.7545388,0.392116,-0.28364965,0.31878966,-1.6503506,7.5288982,-0.6953857,8.061671,5.8266172,2.2709832,7.5121017,6.2291236,-1.9479562,1.4969362,7.733158,0.24859312,-1.9524429,2.0412376,10.69905,2.0955546,4.693115,1.1550499,-6.1040606,3.9455526,6.5130143
4.jpg,22.212925,0.31836528,-4.431387,2.3138006,0.0021678396,6.151529,8.94168,12.7454195,6.5247784,4.0208454,19.670275,24.163328,6.5398507,12.980586,25.111637,4.776412,1.0842426,1.7738355,0.7744262,3.0770283,1.7616594,6.261228,7.522872,19.271914,8.214397,8.036562,5.4578934,4.3574247,4.2254167,-2.9440439,4.2258487,4.729437,10.508391,4.2177596,4.6503806,4.624953,-2.8377523,1.0201743,10.174806,-1.7347494,4.201747,-1.2776271,-0.14669988,-0.9456116,-0.049831532,0.9300338,13.638613,-6.2317367,3.5947301,2.2652977,-0.5008848,11.421661,7.02606,0.6677906,3.841117,3.8986816,2.4071214,-3.8869658,3.7299595,5.6731663,1.1157036,-0.7085459,6.028537,-0.24351133,5.2806153,4.245886
5.jpg,19.135508,-2.778576,-4.4020543,8.072418,-0.14518979,14.523062,2.3159797,9.204607,-2.2114792,5.6412687,20.472637,11.241869,1.7935835,12.653117,37.20202,8.077046,3.1002264,9.063051,-2.3888133,6.758059,-2.7923517,3.8385491,-3.7300847,22.492445,4.612331,-1.0896,3.191167,5.4831266,-1.2323767,-0.5165886,3.6446474,8.437538,6.760687,-0.5033525,0.99512553,3.8385735,-1.0144367,7.4382434,0.621624,-0.45557207,-0.34183803,-1.5562953,0.22308287,4.2789555,0.2353333,1.5742517,4.6508474,1.1275494,16.30215,9.718633,3.4596376,7.1544037,0.084796734,0.8123679,4.1345625,3.9318953,2.9570208,0.5422472,1.2940158,8.528861,3.4513903,1.0782249,21.076422,-0.11589266,2.4740798,-0.03157081
6.jpg,13.148376,5.1171694,-2.71573,8.926882,4.3937697,12.598352,11.38895,13.730133,3.510458,7.9062147,21.815786,24.50152,4.666128,15.247546,44.03126,5.2447567,1.8352089,4.906541,3.1222825,5.037307,0.2271939,7.4465513,1.5105906,19.172285,5.3832917,0.45502204,3.5629277,4.630747,4.732691,2.1480017,2.2105105,10.928671,11.786579,2.6570363,3.8412094,3.3786395,-1.2712388,6.4039907,8.554782,-1.3970088,4.0385065,0.95465046,-0.010036491,2.0813966,1.7777599,1.4620069,9.611856,1.0106647,7.503994,6.6271977,4.905434,5.071244,1.3755463,-1.0815743,4.274568,4.810615,2.1306179,1.8401172,2.662571,10.593055,1.8844299,-0.3681013,7.0336566,0.9331788,1.8358791,4.0294776
7.jpg,13.662389,6.5294356,-3.0188532,6.8627706,9.6154785,13.236335,4.4343157,20.550234,2.5037882,9.245621,15.220769,20.403831,8.514202,10.444335,33.979427,2.8069024,5.4181294,6.2398868,3.537398,2.0549576,2.682466,7.0769877,6.265378,25.706163,4.352577,-1.1687876,12.389529,0.4502958,2.9867172,2.2798214,3.7089639,4.640459,10.693387,2.6296368,4.9622087,7.3373065,-1.7934438,3.3785577,5.338529,-1.1768376,7.4073696,1.8527442,1.7046462,0.68985075,2.2176175,5.975241,9.009634,-0.38352507,8.468627,10.861151,2.6076615,8.030353,1.4733043,-3.0384088,1.6283959,7.1616545,2.6722512,0.7091794,1.8422686,11.266955,4.3142214,-0.47364134,9.939417,1.3256146,3.2573614,5.4588423
8.jpg,26.943672,5.3151402,3.872192,-1.9578152,10.283298,16.817968,-4.9282465,6.123832,3.6220748,14.087402,6.432353,4.4397316,7.5539904,6.1422815,30.032671,-0.4865252,22.785578,2.446509,9.187301,5.8596997,5.0418196,7.046358,4.7156615,1.1947799,16.909761,1.912621,3.829445,4.9598846,5.8443832,7.68286,14.94857,4.7931986,14.166734,6.7351894,-2.3407254,7.407412,1.7520089,1.7558264,8.2202425,6.617672,12.254155,1.311685,3.0597117,4.1875176,3.1901042,2.7361758,14.147761,2.406105,7.3501883,11.571383,7.5206475,7.15709,9.928105,-0.124367885,1.5475894,5.297522,2.3004997,-1.5906019,1.1923186,12.212374,3.0787938,0.07088245,6.3251076,0.0034544617,5.955446,6.9533215
9.jpg,40.963905,1.0097255,0.8398622,-2.6519086,-4.33617,11.955597,2.2350051,16.465273,8.013282,1.3131382,25.313261,8.929997,6.1722507,1.086597,26.080572,-0.04616771,10.023544,1.1546742,4.6282563,2.502056,-0.022580039,2.5616436,3.8135006,13.964519,4.9620247,5.7385306,3.6196933,4.1073575,3.7039433,0.4233716,4.7499323,4.8541656,13.994466,-0.7318725,7.247652,0.1679292,-1.049725,3.092171,4.5945787,0.83955026,6.232547,-1.1856307,-0.35510027,7.2707133,1.1130422,3.7251375,15.964206,-0.94603634,5.9622345,2.0128186,3.8279095,11.931524,3.87277,0.59952664,5.9607744,3.4816754,6.5068297,-1.6827126,1.1227998,2.1488678,0.4433343,2.2911427,6.8168445,-0.53161013,3.0403183,1.778047
