image,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
0.png,4.8232036,30.421623,15.849081,-3.76432,9.352038,4.370647,4.4101777,9.44003,13.633993,2.840917,9.456977,6.8578267,10.6622095,5.504553,5.905591,2.2960522,4.681179,14.377728,16.528229,3.2773397,11.855712,7.314021,2.056157,1.8639855,-1.3646933,2.3280303,2.4090917,13.433205,-1.8059506,15.741544,-0.71036106,0.45400214,-3.542295,-0.5067232,10.377864,-2.5647545,-4.200156,4.5552225,3.78601,12.728056,5.115893,2.412712,3.0027864,35.725742,4.6362896,1.7253835,-2.4368863,-2.726639,1.9374113,9.947655,3.569642,2.333004,-5.836934,11.314152,1.762479,5.7318816,9.890347,2.236432,0.038540363,0.4703203,-2.835967,3.6732185,12.460636,-0.11985656,0.2884131,1.2164766
1.png,15.304412,7.73177,9.11043,11.995877,-0.14348048,4.544107,6.887624,6.384191,14.920717,-1.5565408,20.559286,19.311693,0.34650946,7.4763885,27.945932,31.272554,0.9066161,2.74862,-1.1387517,4.9740896,-6.589526,0.21994206,4.8722124,10.857839,2.6945179,-0.7049625,6.9116006,3.8089118,-3.4170706,0.14555165,-2.0389373,3.2935088,1.010623,-3.2805994,1.8921955,5.950754,0.905522,0.30394083,-1.6014848,-3.5387802,0.12989967,-2.8867068,-1.4146851,2.688531,6.280504,1.6987178,0.35669655,3.1357322,0.7718372,-2.0138588,1.3267454,-0.23366912,-2.5110035,3.457837,3.3122222,3.5568058,3.0275133,-4.7425165,-4.6082506,-1.6251161,-2.7596767,8.159496,10.6859255,-2.4804432,2.3109324,-4.8617616
2.png,9.370615,3.8689904,-1.035874,7.298435,5.5719714,12.237276,11.084853,9.724114,9.28462,5.512371,7.0614905,18.330198,7.04175,4.1033106,27.780283,13.7116,5.2302337,1.2123349,7.8992376,6.9269857,-4.9875484,1.0394522,17.956139,2.9683204,6.11041,1.5286335,7.563856,-1.7628266,0.4852388,8.131165,1.5138497,6.0590487,5.3387117,4.0641394,2.0997043,6.627646,10.446199,2.6338606,5.323564,-2.1881227,-1.4559895,-1.925008,0.14849254,5.1181793,2.8948264,-5.385934,14.815505,7.22519,1.9639595,5.2467365,1.4219913,3.6965868,4.45609,3.2825325,-3.1710162,6.817006,0.84867114,-3.2251806,2.6728048,-1.0252001,3.7575588,1.0585731,5.536634,-2.9032223,-1.9765851,5.9660788
3.png,21.797775,4.4356403,1.704965,15.064189,-2.5531569,15.052069,0.948721,12.555011,3.4979722,-5.5360503,21.85245,19.814714,-1.5161949,22.580065,23.859135,14.475426,3.551671,-1.01668,2.2538028,10.722561,-1.6023643,1.6097202,9.002524,15.341356,2.7653506,13.922686,5.434355,10.95886,-4.762579,0.6609968,7.0629487,7.257096,4.177104,-2.7870424,3.9583101,3.4455917,5.428945,7.9259605,3.1912286,4.661922,0.51864755,-5.1345744,4.1749473,2.448721,-2.433813,-2.1722627,8.911448,1.2528815,2.6462188,5.175287,-3.0530193,2.0054333,1.3833487,-1.4824146,1.7503335,5.7966456,5.119448,-1.71461,-0.5217907,3.6322527,7.6674304,6.161423,15.59941,-5.11237,0.7312598,4.3020015
4.png,14.427318,8.8068695,2.1545067,9.693691,5.118451,10.582445,15.6277685,11.218679,6.9544888,6.5838904,27.08537,13.417856,4.227014,7.920967,22.499666,-0.32279995,-0.6589173,3.2577698,5.9978714,6.432916,1.5400084,5.2157855,4.8824267,8.617059,4.622254,-1.1824456,10.68637,1.7361511,1.9773116,0.25420305,7.152352,8.258741,-0.7291194,-2.1429327,4.5573735,5.8590674,1.8459821,2.8302019,4.5856256,-1.9740452,6.360536,-0.9056135,0.4500298,2.6632197,3.1394162,3.767101,5.89454,0.86672616,4.6301236,2.7704396,-2.3497446,6.2144523,-3.4405806,-2.7453444,3.2689106,9.562504,2.88012,-1.7657276,2.8016741,2.2152152,-0.41485244,0.71290016,6.50782,-4.4067,1.8400617,2.3093867
5.png,10.886361,13.832848,2.8629792,10.6819515,4.562004,-0.6463323,14.711452,4.554516,11.169081,-3.4013286,14.864228,18.44331,7.6713934,6.0136194,21.610188,8.981401,-1.5693718,6.9714537,1.5639538,5.5615664,5.0126386,-0.045754295,2.5817084,8.521308,2.6445048,0.23914483,-1.1987672,10.007655,-1.2924353,5.8971653,-2.3131306,0.39637014,0.145692,1.6903954,6.6815724,4.449739,2.8068702,2.4571505,0.6583402,3.1580384,3.3956156,-6.1328874,-0.7588941,-0.13749115,-0.043636095,1.028295,1.056848,3.407018,3.259966,-0.003366475,-4.246623,-1.7665997,0.1714346,10.908878,0.65787077,6.727253,-2.1114368,3.037938,-1.8041596,6.6573553,2.9891844,14.02698,12.59712,-0.06572893,-1.1791292,-0.8051667
6.png,16.97153,9.506815,-0.41096175,4.4411464,-6.923767,16.69084,3.013346,12.607177,6.5028296,4.124668,17.403257,10.151827,3.3472028,11.858779,33.61456,5.4732895,8.295417,1.0561796,11.210427,-0.9841415,0.39847618,6.304848,6.9571867,4.8033423,12.336257,-2.35262,3.7460816,0.4936547,-6.043852,2.613752,3.454568,-1.6621109,10.160207,3.8182287,-2.6453462,1.2040946,-0.25260633,5.567484,6.4854546,-2.598648,3.1839721,2.774449,1.694576,0.671946,-0.5095984,2.2877762,7.4566336,4.628902,-0.31157988,1.2320542,5.0267515,4.5816464,2.9115,3.1312273,0.3823812,7.8977833,-0.38145632,2.3780184,3.2727518,9.903183,1.1264529,4.0936456,9.589435,2.6197395,-5.025388,7.517599
7.png,0.85122585,5.964198,13.940236,5.404665,6.1540613,-1.8597064,12.455615,4.4403024,16.529161,2.3770385,9.23755,11.074181,8.949246,-0.89077467,18.920542,6.0325913,-4.3223114,4.4593515,5.177686,4.5907593,5.2187076,8.155238,3.4961398,6.74435,9.13925,14.06848,-0.34387392,2.4034054,-1.9923869,9.409375,3.8787358,1.027756,4.493222,7.67024,0.23203878,-4.0652266,-1.120016,6.878493,4.1349034,17.38805,6.6306934,2.7769237,-0.6691941,9.6888,0.8499788,5.8282127,8.105698,1.0131195,5.7655973,7.930536,6.2251344,-0.513093,3.983297,17.262775,2.5440977,10.311456,24.36115,3.981283,1.4812044,5.0592847,-0.500946,8.6022415,14.762802,4.987511,6.177095,2.090698
8.png,1.4617387,7.7763753,17.758665,11.34582,14.5951185,3.1512265,7.9359784,7.740161,19.529175,3.4154892,7.08642,3.4368231,8.394062,-0.15961193,19.39304,9.658447,-2.3836439,4.243643,11.131004,8.634842,2.326753,1.7596997,5.2854886,4.2572236,9.1078615,8.346611,5.032148,2.3650327,-3.0321534,9.830145,-0.2232464,-1.6389089,7.704796,5.0003195,0.2736182,-1.5154151,3.4849584,6.8334265,1.6719983,26.303268,4.4227114,0.49591577,0.95253104,4.0623674,-2.693833,4.803812,5.724705,1.8298126,4.918369,4.8815084,2.3430545,0.21781194,1.8992891,4.788198,0.6312352,8.556475,15.140358,-1.5420228,-0.5398805,4.416462,2.9367383,5.2523246,14.309296,-2.1222827,3.703967,2.07356
9.png,12.789975,2.7617304,31.27454,2.8971982,-0.42637265,6.373225,5.2921047,11.750446,0.9195772,-9.646377,13.6928,14.023566,-0.87087506,1.9329567,24.36643,5.6587615,1.0204628,1.0878252,40.094288,5.019424,1.8362066,4.5532823,6.398021,0.7271282,0.7871646,6.8154616,0.9702785,1.0362098,-4.1497087,-0.3371291,-2.8168733,2.1893578,3.0438662,-1.6006602,0.694533,0.24907199,2.0074985,-0.30168653,8.543791,10.215564,3.8564384,-2.2341986,1.782649,2.8054984,-0.09500003,-3.6733336,9.12129,3.5091362,3.989388,1.1995018,-3.0925221,1.1759993,1.3563105,-1.3151805,-1.2992082,6.9991903,4.2219853,-3.7254848,-1.5231094,1.2145236,3.5327175,8.872344,6.9937267,-3.430699,-5.0383234,-2.7214215
