image_name,ground_truth_complexity,predicted_complexity
0.jpg,0.36,0.59818274
1.jpg,0.42,0.3965342
2.jpg,0.33,0.48194337
3.jpg,0.45,0.50547636
4.jpg,0.59,0.54829794
5.jpg,0.59,0.62563723
6.jpg,0.46,0.46788472
7.jpg,0.52,0.55672544
8.jpg,0.11,0.30342883
9.jpg,0.33,0.41848367
10.jpg,0.19,0.3323917
11.jpg,0.19,0.46627292
12.jpg,0.22,0.36726022
13.jpg,0.47,0.29478902
14.jpg,0.54,0.47234207
15.jpg,0.48,0.5449346
16.jpg,0.62,0.45057213
17.jpg,0.6,0.5412921
18.jpg,0.62,0.39609367
19.jpg,0.26,0.35739243
20.jpg,0.22,0.42824182
21.jpg,0.89,0.6443191
22.jpg,0.52,0.55195343
23.jpg,0.89,0.84557414
24.jpg,0.68,0.44210136
25.jpg,0.82,0.56060797
26.jpg,0.71,0.50395226
27.jpg,0.86,0.59695774
28.jpg,0.8,0.42387283
29.jpg,0.54,0.49096382
30.jpg,0.34,0.5220631
31.jpg,0.77,0.59561473
32.jpg,0.69,0.5272019
33.jpg,0.18,0.4029629
34.jpg,0.4,0.61426014
35.jpg,0.16,0.31532937
36.jpg,0.48,0.36545795
37.jpg,0.89,0.70673764
38.jpg,0.7,0.69687027
39.jpg,0.5,0.48095712
40.jpg,0.76,0.64687175
41.jpg,0.83,0.5910514
42.jpg,0.4,0.5228808
43.jpg,0.56,0.36104006
44.jpg,0.47,0.5997635
45.jpg,0.65,0.59163177
46.jpg,0.72,0.6015396
47.jpg,0.29,0.5554597
48.jpg,0.25,0.6306082
49.jpg,0.28,0.463382
50.jpg,0.22,0.44611916
51.jpg,0.21,0.4217548
52.jpg,0.82,0.46161413
53.jpg,0.04,0.42478433
54.jpg,0.5,0.3644843
55.jpg,0.82,0.6840191
56.jpg,0.31,0.42059115
57.jpg,0.24,0.5294506
58.jpg,0.65,0.48052305
59.jpg,0.68,0.5658192
60.jpg,0.64,0.5111722
61.jpg,1.0,0.6932054
