image_name,ground_truth_complexity,predicted_complexity
0.jpg,0.29,0.5633053
1.jpg,0.42,0.5149413
2.jpg,0.68,0.64220023
3.jpg,0.39,0.4448646
4.jpg,0.76,0.7079316
5.jpg,0.41,0.6486269
6.jpg,0.39,0.471378
7.jpg,0.4,0.50365734
8.jpg,0.33,0.46286204
9.jpg,0.33,0.4415863
10.jpg,0.52,0.66743755
11.jpg,0.37,0.4755243
12.jpg,0.61,0.6398858
13.jpg,0.71,0.5685176
14.jpg,0.44,0.58518916
15.jpg,0.34,0.42525968
16.jpg,0.7,0.6429334
17.jpg,0.52,0.64264274
18.jpg,0.29,0.44223654
19.jpg,0.27,0.48587897
20.jpg,0.46,0.52696854
21.jpg,0.76,0.5527031
22.jpg,0.51,0.52858555
23.jpg,0.47,0.49150193
24.jpg,0.52,0.58573943
25.jpg,0.66,0.6242164
26.jpg,0.31,0.410215
27.jpg,0.57,0.74092335
28.jpg,0.73,0.62322336
29.jpg,0.65,0.6038615
30.jpg,0.18,0.42168128
31.jpg,0.24,0.53308815
32.jpg,0.35,0.5547723
33.jpg,0.26,0.5221535
34.jpg,0.8,0.55193764
35.jpg,0.38,0.5591454
36.jpg,0.49,0.57374895
37.jpg,0.85,0.8807556
38.jpg,0.48,0.5661257
39.jpg,0.0,0.3389865
40.jpg,0.62,0.6312697
41.jpg,0.69,0.5617138
42.jpg,0.9,0.49444947
43.jpg,0.31,0.5384918
44.jpg,0.22,0.48369303
45.jpg,0.23,0.5106831
46.jpg,0.24,0.17643878
47.jpg,0.25,0.39766553
48.jpg,0.44,0.6312998
49.jpg,0.92,0.5544987
50.jpg,0.12,0.5475563
51.jpg,0.15,0.39102867
52.jpg,0.4,0.57954854
53.jpg,0.19,0.38426334
54.jpg,0.64,0.5921575
55.jpg,0.41,0.49416086
56.jpg,0.53,0.52040404
57.jpg,0.13,0.46674696
58.jpg,0.23,0.54636043
59.jpg,0.43,0.44207895
60.jpg,0.11,0.4241935
61.jpg,0.33,0.48943132
62.jpg,0.42,0.50769633
63.jpg,0.4,0.41945407
64.jpg,0.82,0.6295809
65.jpg,0.05,0.45185107
66.jpg,0.47,0.5188788
67.jpg,0.35,0.46745104
68.jpg,0.4,0.4165458
69.jpg,0.14,0.49578485
70.jpg,0.89,0.6909392
71.jpg,0.39,0.5832825
72.jpg,0.19,0.42278975
73.jpg,0.58,0.51652926
74.jpg,0.31,0.4907181
75.jpg,0.37,0.5133735
76.jpg,0.17,0.35107672
77.jpg,0.07,0.4350113
78.jpg,0.52,0.70965445
79.jpg,0.27,0.50924826
80.jpg,0.43,0.4983185
81.jpg,0.78,0.5394369
82.jpg,0.17,0.44778782
83.jpg,0.14,0.4588963
84.jpg,0.64,0.5737144
85.jpg,0.0,0.37485853
86.jpg,0.73,0.5283279
87.jpg,0.12,0.4384304
88.jpg,0.56,0.52306205
89.jpg,0.12,0.33943614
90.jpg,0.72,0.56808466
91.jpg,0.03,0.30656978
92.jpg,0.4,0.48326045
93.jpg,0.31,0.49869812
94.jpg,0.36,0.48671132
95.jpg,0.71,0.4896704
96.jpg,0.56,0.5895895
97.jpg,0.7,0.64886165
98.jpg,0.3,0.3501976
99.jpg,0.12,0.46645162
100.jpg,0.34,0.4688624
101.jpg,0.78,0.7305812
102.jpg,0.39,0.3123302
103.jpg,0.66,0.52560633
104.jpg,0.67,0.5569047
105.jpg,0.39,0.29428133
106.jpg,0.58,0.65054464
107.jpg,0.55,0.5111452
108.jpg,0.39,0.5412661
109.jpg,0.54,0.540187
110.jpg,0.26,0.51052797
111.jpg,0.39,0.5325193
112.jpg,0.13,0.23950809
113.jpg,0.39,0.57275426
114.jpg,0.36,0.57220757
115.jpg,0.75,0.7141697
116.jpg,0.53,0.5081046
117.jpg,1.0,0.6697001
118.jpg,0.19,0.51667935
119.jpg,0.58,0.6518109
120.jpg,0.14,0.30104053
121.jpg,0.49,0.58531415
122.jpg,0.68,0.40254483
123.jpg,0.44,0.44051713
124.jpg,0.5,0.595841
125.jpg,0.46,0.40907255
126.jpg,0.71,0.80823493
127.jpg,0.36,0.6113879
128.jpg,0.5,0.5149895
129.jpg,0.56,0.5515432
130.jpg,0.39,0.5025068
131.jpg,0.23,0.43055004
132.jpg,0.68,0.61448145
133.jpg,0.45,0.5289606
134.jpg,0.63,0.61003673
135.jpg,0.79,0.6360873
136.jpg,0.37,0.37041813
137.jpg,0.36,0.5070926
138.jpg,0.44,0.47014135
139.jpg,0.44,0.4790554
140.jpg,0.62,0.51201135
141.jpg,0.52,0.5059029
142.jpg,0.43,0.50084996
143.jpg,0.49,0.6017507
144.jpg,0.29,0.45722708
145.jpg,0.3,0.56568325
146.jpg,0.76,0.63576996
147.jpg,0.24,0.48069707
148.jpg,0.0,0.4556423
149.jpg,0.26,0.4050072
150.jpg,0.12,0.364193
151.jpg,0.33,0.65488565
152.jpg,0.28,0.5202877
153.jpg,0.35,0.38312444
154.jpg,0.47,0.4449757
155.jpg,0.44,0.6034848
156.jpg,0.44,0.5185445
157.jpg,0.11,0.4317576
158.jpg,0.51,0.51264656
159.jpg,0.19,0.42091015
160.jpg,0.63,0.660852
161.jpg,0.65,0.6591462
162.jpg,0.45,0.5175336
163.jpg,0.82,0.57511
164.jpg,0.75,0.616903
165.jpg,0.24,0.4375495
166.jpg,0.16,0.3015932
167.jpg,0.59,0.49544728
168.jpg,0.64,0.53174126
169.jpg,0.21,0.35494176
170.jpg,0.23,0.46593386
171.jpg,0.49,0.6310165
172.jpg,0.66,0.63737655
173.jpg,0.27,0.53019536
174.jpg,0.29,0.383258
175.jpg,0.32,0.5282595
176.jpg,0.33,0.48602727
177.jpg,0.67,0.61422545
178.jpg,0.09,0.49265292
179.jpg,0.15,0.40324822
180.jpg,0.11,0.4572909
181.jpg,0.75,0.6407359
182.jpg,0.1,0.3218548
183.jpg,0.45,0.4767848
184.jpg,0.86,0.71788996
185.jpg,0.59,0.57623994
186.jpg,0.87,0.7665762
187.jpg,0.26,0.50736946
188.jpg,0.19,0.42471772
189.jpg,0.36,0.5030752
190.jpg,0.81,0.48121968
191.jpg,0.45,0.4604635
192.jpg,0.46,0.58727604
193.jpg,0.4,0.49314317
194.jpg,0.24,0.345734
195.jpg,0.19,0.49289402
196.jpg,0.22,0.5231528
197.jpg,0.46,0.47524324
198.jpg,0.32,0.43433523
199.jpg,0.67,0.6407176
