2025-04-21 15:15:53,996 - INFO - Using device: cuda
2025-04-21 15:15:53,997 - INFO - Set random seeds to 42
2025-04-21 15:15:54,010 - INFO - Saved training feature mean baseline to /home/wallacelab/investigating-complexity/output/new/run_20250421_151553/train_feature_mean.pt
2025-04-21 15:15:54,018 - INFO - Using AttnPool instead of Mean Pooling.
2025-04-21 15:15:55,542 - INFO - Starting training with validation...
2025-04-21 15:15:56,050 - INFO - Epoch [1/25], Train Loss: 0.0450, Val Loss: 0.0506, Val SRCC: -0.5269, Val PCC: -0.5365, Val RMSE: 0.2250, Val RMAE: 0.4368
2025-04-21 15:15:56,205 - INFO - Epoch [2/25], Train Loss: 0.0449, Val Loss: 0.0512, Val SRCC: -0.5298, Val PCC: -0.5337, Val RMSE: 0.2262, Val RMAE: 0.4379
2025-04-21 15:15:56,357 - INFO - Epoch [3/25], Train Loss: 0.0449, Val Loss: 0.0513, Val SRCC: -0.5401, Val PCC: -0.5265, Val RMSE: 0.2265, Val RMAE: 0.4381
2025-04-21 15:15:56,507 - INFO - Epoch [4/25], Train Loss: 0.0452, Val Loss: 0.0513, Val SRCC: -0.5460, Val PCC: -0.5177, Val RMSE: 0.2265, Val RMAE: 0.4381
2025-04-21 15:15:56,664 - INFO - Epoch [5/25], Train Loss: 0.0449, Val Loss: 0.0514, Val SRCC: -0.5460, Val PCC: -0.5122, Val RMSE: 0.2266, Val RMAE: 0.4382
2025-04-21 15:15:56,833 - INFO - Epoch [6/25], Train Loss: 0.0451, Val Loss: 0.0511, Val SRCC: -0.5813, Val PCC: -0.5053, Val RMSE: 0.2260, Val RMAE: 0.4376
2025-04-21 15:15:56,988 - INFO - Epoch [7/25], Train Loss: 0.0451, Val Loss: 0.0514, Val SRCC: -0.5813, Val PCC: -0.5113, Val RMSE: 0.2268, Val RMAE: 0.4384
2025-04-21 15:15:57,142 - INFO - Epoch [8/25], Train Loss: 0.0448, Val Loss: 0.0515, Val SRCC: -0.5519, Val PCC: -0.5102, Val RMSE: 0.2269, Val RMAE: 0.4384
2025-04-21 15:15:57,299 - INFO - Epoch [9/25], Train Loss: 0.0447, Val Loss: 0.0515, Val SRCC: -0.5519, Val PCC: -0.5101, Val RMSE: 0.2270, Val RMAE: 0.4384
2025-04-21 15:15:57,448 - INFO - Epoch [10/25], Train Loss: 0.0452, Val Loss: 0.0514, Val SRCC: -0.5445, Val PCC: -0.5093, Val RMSE: 0.2267, Val RMAE: 0.4382
2025-04-21 15:15:57,568 - INFO - Epoch [11/25], Train Loss: 0.0451, Val Loss: 0.0514, Val SRCC: -0.5386, Val PCC: -0.5050, Val RMSE: 0.2267, Val RMAE: 0.4382
2025-04-21 15:15:57,719 - INFO - Epoch [12/25], Train Loss: 0.0447, Val Loss: 0.0514, Val SRCC: -0.5386, Val PCC: -0.4976, Val RMSE: 0.2267, Val RMAE: 0.4382
2025-04-21 15:15:57,892 - INFO - Epoch [13/25], Train Loss: 0.0450, Val Loss: 0.0514, Val SRCC: -0.5386, Val PCC: -0.4940, Val RMSE: 0.2267, Val RMAE: 0.4382
2025-04-21 15:15:58,060 - INFO - Epoch [14/25], Train Loss: 0.0449, Val Loss: 0.0514, Val SRCC: -0.5313, Val PCC: -0.4935, Val RMSE: 0.2267, Val RMAE: 0.4381
2025-04-21 15:15:58,193 - INFO - Epoch [15/25], Train Loss: 0.0449, Val Loss: 0.0515, Val SRCC: -0.5313, Val PCC: -0.4967, Val RMSE: 0.2269, Val RMAE: 0.4383
2025-04-21 15:15:58,372 - INFO - Epoch [16/25], Train Loss: 0.0447, Val Loss: 0.0513, Val SRCC: -0.5313, Val PCC: -0.4945, Val RMSE: 0.2264, Val RMAE: 0.4379
2025-04-21 15:15:58,537 - INFO - Epoch [17/25], Train Loss: 0.0450, Val Loss: 0.0514, Val SRCC: -0.5313, Val PCC: -0.4929, Val RMSE: 0.2267, Val RMAE: 0.4381
2025-04-21 15:15:58,697 - INFO - Epoch [18/25], Train Loss: 0.0449, Val Loss: 0.0514, Val SRCC: -0.5313, Val PCC: -0.4924, Val RMSE: 0.2268, Val RMAE: 0.4382
2025-04-21 15:15:58,867 - INFO - Epoch [19/25], Train Loss: 0.0450, Val Loss: 0.0515, Val SRCC: -0.5313, Val PCC: -0.4902, Val RMSE: 0.2268, Val RMAE: 0.4382
2025-04-21 15:15:59,036 - INFO - Epoch [20/25], Train Loss: 0.0445, Val Loss: 0.0518, Val SRCC: -0.5313, Val PCC: -0.4873, Val RMSE: 0.2276, Val RMAE: 0.4388
2025-04-21 15:15:59,195 - INFO - Epoch [21/25], Train Loss: 0.0448, Val Loss: 0.0521, Val SRCC: -0.5401, Val PCC: -0.4905, Val RMSE: 0.2284, Val RMAE: 0.4395
2025-04-21 15:15:59,354 - INFO - Epoch [22/25], Train Loss: 0.0444, Val Loss: 0.0523, Val SRCC: -0.5372, Val PCC: -0.4938, Val RMSE: 0.2287, Val RMAE: 0.4397
2025-04-21 15:15:59,522 - INFO - Epoch [23/25], Train Loss: 0.0445, Val Loss: 0.0517, Val SRCC: -0.5372, Val PCC: -0.4850, Val RMSE: 0.2274, Val RMAE: 0.4384
2025-04-21 15:15:59,696 - INFO - Epoch [24/25], Train Loss: 0.0447, Val Loss: 0.0518, Val SRCC: -0.5372, Val PCC: -0.4830, Val RMSE: 0.2277, Val RMAE: 0.4386
2025-04-21 15:15:59,860 - INFO - Epoch [25/25], Train Loss: 0.0447, Val Loss: 0.0512, Val SRCC: -0.5313, Val PCC: -0.4669, Val RMSE: 0.2263, Val RMAE: 0.4373
2025-04-21 15:15:59,866 - INFO - Using AttnPool instead of Mean Pooling.
2025-04-21 15:15:59,937 - INFO - Starting training with validation...
2025-04-21 15:16:00,070 - INFO - Epoch [1/25], Train Loss: 0.0489, Val Loss: 0.0600, Val SRCC: 0.4827, Val PCC: 0.4345, Val RMSE: 0.2450, Val RMAE: 0.4511
2025-04-21 15:16:00,158 - INFO - Epoch [2/25], Train Loss: 0.0469, Val Loss: 0.0563, Val SRCC: 0.4827, Val PCC: 0.4326, Val RMSE: 0.2373, Val RMAE: 0.4465
2025-04-21 15:16:00,255 - INFO - Epoch [3/25], Train Loss: 0.0460, Val Loss: 0.0534, Val SRCC: 0.4739, Val PCC: 0.4269, Val RMSE: 0.2310, Val RMAE: 0.4422
2025-04-21 15:16:00,382 - INFO - Epoch [4/25], Train Loss: 0.0452, Val Loss: 0.0520, Val SRCC: 0.4886, Val PCC: 0.4416, Val RMSE: 0.2279, Val RMAE: 0.4399
2025-04-21 15:16:00,511 - INFO - Epoch [5/25], Train Loss: 0.0452, Val Loss: 0.0510, Val SRCC: 0.4091, Val PCC: 0.4319, Val RMSE: 0.2259, Val RMAE: 0.4381
2025-04-21 15:16:00,643 - INFO - Epoch [6/25], Train Loss: 0.0450, Val Loss: 0.0508, Val SRCC: 0.3679, Val PCC: 0.4320, Val RMSE: 0.2254, Val RMAE: 0.4377
2025-04-21 15:16:00,738 - INFO - Epoch [7/25], Train Loss: 0.0449, Val Loss: 0.0505, Val SRCC: 0.3532, Val PCC: 0.4275, Val RMSE: 0.2248, Val RMAE: 0.4371
2025-04-21 15:16:00,840 - INFO - Epoch [8/25], Train Loss: 0.0448, Val Loss: 0.0504, Val SRCC: 0.2987, Val PCC: 0.4199, Val RMSE: 0.2244, Val RMAE: 0.4367
2025-04-21 15:16:00,965 - INFO - Epoch [9/25], Train Loss: 0.0448, Val Loss: 0.0502, Val SRCC: 0.2752, Val PCC: 0.4147, Val RMSE: 0.2240, Val RMAE: 0.4363
2025-04-21 15:16:01,092 - INFO - Epoch [10/25], Train Loss: 0.0448, Val Loss: 0.0504, Val SRCC: 0.2340, Val PCC: 0.4081, Val RMSE: 0.2244, Val RMAE: 0.4367
2025-04-21 15:16:01,218 - INFO - Epoch [11/25], Train Loss: 0.0449, Val Loss: 0.0503, Val SRCC: 0.2340, Val PCC: 0.4022, Val RMSE: 0.2242, Val RMAE: 0.4365
2025-04-21 15:16:01,338 - INFO - Epoch [12/25], Train Loss: 0.0447, Val Loss: 0.0502, Val SRCC: 0.2384, Val PCC: 0.3937, Val RMSE: 0.2241, Val RMAE: 0.4363
2025-04-21 15:16:01,469 - INFO - Epoch [13/25], Train Loss: 0.0448, Val Loss: 0.0503, Val SRCC: 0.2531, Val PCC: 0.3865, Val RMSE: 0.2243, Val RMAE: 0.4365
2025-04-21 15:16:01,595 - INFO - Epoch [14/25], Train Loss: 0.0447, Val Loss: 0.0501, Val SRCC: 0.2458, Val PCC: 0.3734, Val RMSE: 0.2237, Val RMAE: 0.4359
2025-04-21 15:16:01,721 - INFO - Epoch [15/25], Train Loss: 0.0446, Val Loss: 0.0500, Val SRCC: 0.2355, Val PCC: 0.3508, Val RMSE: 0.2236, Val RMAE: 0.4358
2025-04-21 15:16:01,840 - INFO - Epoch [16/25], Train Loss: 0.0448, Val Loss: 0.0502, Val SRCC: 0.2502, Val PCC: 0.3420, Val RMSE: 0.2240, Val RMAE: 0.4361
2025-04-21 15:16:01,958 - INFO - Epoch [17/25], Train Loss: 0.0447, Val Loss: 0.0505, Val SRCC: 0.2502, Val PCC: 0.3173, Val RMSE: 0.2246, Val RMAE: 0.4366
2025-04-21 15:16:02,093 - INFO - Epoch [18/25], Train Loss: 0.0448, Val Loss: 0.0504, Val SRCC: 0.2634, Val PCC: 0.2819, Val RMSE: 0.2244, Val RMAE: 0.4363
2025-04-21 15:16:02,226 - INFO - Epoch [19/25], Train Loss: 0.0446, Val Loss: 0.0501, Val SRCC: 0.2634, Val PCC: 0.2640, Val RMSE: 0.2238, Val RMAE: 0.4357
2025-04-21 15:16:02,355 - INFO - Epoch [20/25], Train Loss: 0.0447, Val Loss: 0.0499, Val SRCC: 0.2487, Val PCC: 0.2465, Val RMSE: 0.2234, Val RMAE: 0.4352
2025-04-21 15:16:02,488 - INFO - Epoch [21/25], Train Loss: 0.0445, Val Loss: 0.0505, Val SRCC: 0.1545, Val PCC: 0.2286, Val RMSE: 0.2246, Val RMAE: 0.4364
2025-04-21 15:16:02,623 - INFO - Epoch [22/25], Train Loss: 0.0445, Val Loss: 0.0506, Val SRCC: 0.1545, Val PCC: 0.2116, Val RMSE: 0.2249, Val RMAE: 0.4367
2025-04-21 15:16:02,728 - INFO - Epoch [23/25], Train Loss: 0.0447, Val Loss: 0.0503, Val SRCC: 0.1722, Val PCC: 0.1956, Val RMSE: 0.2244, Val RMAE: 0.4361
2025-04-21 15:16:02,799 - INFO - Epoch [24/25], Train Loss: 0.0445, Val Loss: 0.0501, Val SRCC: 0.1722, Val PCC: 0.1859, Val RMSE: 0.2239, Val RMAE: 0.4356
2025-04-21 15:16:02,892 - INFO - Epoch [25/25], Train Loss: 0.0444, Val Loss: 0.0505, Val SRCC: 0.1501, Val PCC: 0.1847, Val RMSE: 0.2247, Val RMAE: 0.4364
2025-04-21 15:16:02,898 - INFO - Using AttnPool instead of Mean Pooling.
2025-04-21 15:16:02,930 - INFO - Starting training with validation...
2025-04-21 15:16:03,028 - INFO - Epoch [1/25], Train Loss: 0.0551, Val Loss: 0.0707, Val SRCC: 0.3473, Val PCC: 0.4163, Val RMSE: 0.2660, Val RMAE: 0.4672
2025-04-21 15:16:03,148 - INFO - Epoch [2/25], Train Loss: 0.0517, Val Loss: 0.0640, Val SRCC: 0.3488, Val PCC: 0.4086, Val RMSE: 0.2531, Val RMAE: 0.4563
2025-04-21 15:16:03,279 - INFO - Epoch [3/25], Train Loss: 0.0486, Val Loss: 0.0590, Val SRCC: 0.3812, Val PCC: 0.3919, Val RMSE: 0.2429, Val RMAE: 0.4509
2025-04-21 15:16:03,386 - INFO - Epoch [4/25], Train Loss: 0.0469, Val Loss: 0.0558, Val SRCC: 0.3547, Val PCC: 0.3578, Val RMSE: 0.2363, Val RMAE: 0.4470
2025-04-21 15:16:03,486 - INFO - Epoch [5/25], Train Loss: 0.0462, Val Loss: 0.0535, Val SRCC: 0.3164, Val PCC: 0.3454, Val RMSE: 0.2313, Val RMAE: 0.4436
2025-04-21 15:16:03,596 - INFO - Epoch [6/25], Train Loss: 0.0456, Val Loss: 0.0520, Val SRCC: 0.3164, Val PCC: 0.3472, Val RMSE: 0.2281, Val RMAE: 0.4411
2025-04-21 15:16:03,727 - INFO - Epoch [7/25], Train Loss: 0.0455, Val Loss: 0.0512, Val SRCC: 0.3267, Val PCC: 0.3453, Val RMSE: 0.2263, Val RMAE: 0.4397
2025-04-21 15:16:03,854 - INFO - Epoch [8/25], Train Loss: 0.0454, Val Loss: 0.0507, Val SRCC: 0.3017, Val PCC: 0.3294, Val RMSE: 0.2252, Val RMAE: 0.4387
2025-04-21 15:16:03,980 - INFO - Epoch [9/25], Train Loss: 0.0452, Val Loss: 0.0503, Val SRCC: 0.3017, Val PCC: 0.3433, Val RMSE: 0.2243, Val RMAE: 0.4378
2025-04-21 15:16:04,127 - INFO - Epoch [10/25], Train Loss: 0.0454, Val Loss: 0.0500, Val SRCC: 0.3635, Val PCC: 0.3379, Val RMSE: 0.2235, Val RMAE: 0.4371
2025-04-21 15:16:04,260 - INFO - Epoch [11/25], Train Loss: 0.0451, Val Loss: 0.0498, Val SRCC: 0.4224, Val PCC: 0.3492, Val RMSE: 0.2231, Val RMAE: 0.4366
